run,layer,component,expert,matrix,l2,maxabs,kurtosis
g1_moe,2,routed,27,fc2,3.47179,0.0883789,0.508629
g1_moe,2,routed,28,fc2,3.24429,0.102051,0.554121
g1_moe,2,routed,29,fc2,3.17635,0.0717773,0.342151
g1_moe,2,routed,30,fc2,3.23055,0.0854492,0.762545
g1_moe,2,routed,31,fc2,3.24431,0.0751953,0.552416
g1_moe,2,routed,32,fc2,3.24257,0.0859375,0.712619
g1_moe,2,routed,33,fc2,2.95035,0.0825195,0.479808
g1_moe,2,routed,34,fc2,3.238,0.0830078,0.423793
g1_moe,2,routed,35,fc2,3.32099,0.0825195,0.500937
g1_moe,2,routed,36,fc2,3.03564,0.0996094,0.633648
g1_moe,2,routed,37,fc2,3.32916,0.0878906,0.598243
g1_moe,2,routed,38,fc2,3.07454,0.0683594,0.496972
g1_moe,2,routed,39,fc2,3.22445,0.0795898,0.468662
g1_moe,2,routed,40,fc2,2.7973,0.0688477,0.45118
g1_moe,2,routed,41,fc2,3.27754,0.081543,0.345271
g1_moe,2,routed,42,fc2,3.1581,0.081543,0.62007
g1_moe,2,routed,43,fc2,2.99241,0.0878906,0.485405
g1_moe,2,routed,44,fc2,3.45572,0.105957,0.647703
g1_moe,2,routed,45,fc2,3.49183,0.0869141,0.466541
g1_moe,2,routed,46,fc2,3.33302,0.0786133,0.442716
g1_moe,2,routed,47,fc2,3.20382,0.0864258,0.592588
g1_moe,2,routed,48,fc2,3.33492,0.101074,0.420272
g1_moe,2,routed,49,fc2,2.97925,0.0717773,0.417193
g1_moe,2,routed,50,fc2,3.13246,0.0756836,0.540005
g1_moe,2,routed,51,fc2,3.15997,0.0830078,0.389092
g1_moe,2,routed,52,fc2,3.10851,0.0732422,0.326276
g1_moe,2,routed,53,fc2,3.26952,0.097168,0.499316
g1_moe,2,routed,54,fc2,3.28863,0.0947266,0.502732
g1_moe,2,routed,55,fc2,3.30568,0.0742188,0.231319
g1_moe,2,routed,56,fc2,3.07425,0.0712891,0.453083
g1_moe,2,routed,57,fc2,3.12581,0.0839844,0.436301
g1_moe,2,routed,58,fc2,2.91648,0.0683594,0.267851
g1_moe,2,routed,59,fc2,3.01908,0.0717773,0.519522
g1_moe,2,routed,60,fc2,3.07275,0.0688477,0.425266
g1_moe,2,routed,61,fc2,3.21412,0.0854492,0.443847
g1_moe,2,routed,62,fc2,3.11839,0.0717773,0.280131
g1_moe,2,routed,63,fc2,3.23398,0.0800781,0.501516
g1_moe,2,router_row,0,router,1.08562,0.177734,-0.380895
g1_moe,2,router_row,1,router,0.99337,0.166992,-0.343272
g1_moe,2,router_row,2,router,0.950294,0.171875,-0.493192
g1_moe,2,router_row,3,router,0.938071,0.172852,-0.542111
g1_moe,2,router_row,4,router,0.961347,0.148438,-0.574999
g1_moe,2,router_row,5,router,0.969807,0.212891,0.411959
g1_moe,2,router_row,6,router,0.917355,0.157227,0.0159847
g1_moe,2,router_row,7,router,0.980343,0.180664,-0.307392
g1_moe,2,router_row,8,router,0.965502,0.168945,-0.0176292
g1_moe,2,router_row,9,router,0.98062,0.171875,-0.245699
g1_moe,2,router_row,10,router,0.973968,0.163086,-0.413377
g1_moe,2,router_row,11,router,1.02568,0.167969,-0.230526
g1_moe,2,router_row,12,router,0.838359,0.119141,-0.800466
g1_moe,2,router_row,13,router,0.885012,0.149414,-0.704547
g1_moe,2,router_row,14,router,0.939682,0.160156,-0.385836
g1_moe,2,router_row,15,router,0.899163,0.165039,-0.320746
g1_moe,2,router_row,16,router,0.934436,0.167969,-0.0949224
g1_moe,2,router_row,17,router,0.91586,0.15625,-0.162598
g1_moe,2,router_row,18,router,0.998702,0.1875,-0.289346
g1_moe,2,router_row,19,router,0.964695,0.154297,-0.614119
g1_moe,2,router_row,20,router,0.983897,0.15332,-0.381293
g1_moe,2,router_row,21,router,0.905902,0.146484,-0.695992
g1_moe,2,router_row,22,router,0.964123,0.1875,-0.455328
g1_moe,2,router_row,23,router,0.945337,0.162109,-0.171247
g1_moe,2,router_row,24,router,1.00095,0.174805,-0.48493
g1_moe,2,router_row,25,router,0.969214,0.175781,-0.362135
g1_moe,2,router_row,26,router,0.973684,0.177734,-0.224263
g1_moe,2,router_row,27,router,0.940967,0.167969,-0.175805
g1_moe,2,router_row,28,router,1.01471,0.201172,-0.37529
g1_moe,2,router_row,29,router,0.964922,0.168945,-0.326746
g1_moe,2,router_row,30,router,0.954134,0.198242,-0.213192
g1_moe,2,router_row,31,router,1.00224,0.197266,-0.141887
g1_moe,2,router_row,32,router,1.00038,0.15918,-0.168676
g1_moe,2,router_row,33,router,0.89763,0.146484,-0.402031
g1_moe,2,router_row,34,router,0.949745,0.162109,-0.273205
g1_moe,2,router_row,35,router,1.00499,0.193359,-0.289332
g1_moe,2,router_row,36,router,0.960553,0.162109,-0.459038
g1_moe,2,router_row,37,router,0.992458,0.183594,0.0315016
g1_moe,2,router_row,38,router,0.888177,0.161133,-0.323181
g1_moe,2,router_row,39,router,0.947869,0.151367,-0.388967
g1_moe,2,router_row,40,router,0.907249,0.146484,-0.591632
g1_moe,2,router_row,41,router,1.01074,0.199219,0.118743
g1_moe,2,router_row,42,router,0.992847,0.177734,0.252915
g1_moe,2,router_row,43,router,0.917708,0.144531,-0.481328
g1_moe,2,router_row,44,router,0.990365,0.173828,-0.175067
g1_moe,2,router_row,45,router,0.954575,0.185547,-0.323154
g1_moe,2,router_row,46,router,0.91993,0.171875,-0.361516
g1_moe,2,router_row,47,router,0.957937,0.15918,-0.449031
