# substitution tolerance: per-token CE delta (arm minus unperturbed) on cached test micro-batches; BPB = CE/2.9780 (pythia-50k runs) or CE/2.7568 (tok16k 1e17); 95% percentile bootstrap over documents, 2000 resamples; producer analysis/residency/substitution_tolerance.py from analysis/probes/substitution_eval.py .npz records
run,budget,regime,grain,experts,topk,seed,condition,gate,fraction,layer,n_tokens,n_docs,ref_ce,ref_bpb,delta_ce,delta_ce_lo95,delta_ce_hi95,delta_bpb,delta_bpb_lo95,delta_bpb_hi95,hook_calls,subs_per_token_layer,replay_drift
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,stale,own,matched,all,1048576,1322,3.928106,1.3190,0.105650,0.103805,0.107642,0.0355,0.0349,0.0361,128,0.999,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,stale,inherit,matched,all,1048576,1322,3.928106,1.3190,0.142194,0.140105,0.144370,0.0477,0.0470,0.0485,128,0.999,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,zero,-,matched,all,1048576,1322,3.928106,1.3190,0.111130,0.109223,0.113174,0.0373,0.0367,0.0380,128,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L2,1048576,1322,3.928106,1.3190,0.010041,0.009249,0.010935,0.0034,0.0031,0.0037,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L3,1048576,1322,3.928106,1.3190,0.017772,0.017164,0.018409,0.0060,0.0058,0.0062,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L4,1048576,1322,3.928106,1.3190,0.013478,0.012986,0.014031,0.0045,0.0044,0.0047,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L5,1048576,1322,3.928106,1.3190,0.009223,0.008825,0.009627,0.0031,0.0030,0.0032,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L6,1048576,1322,3.928106,1.3190,0.009511,0.009109,0.009911,0.0032,0.0031,0.0033,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L7,1048576,1322,3.928106,1.3190,0.011276,0.010875,0.011715,0.0038,0.0037,0.0039,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L8,1048576,1322,3.928106,1.3190,0.012603,0.012181,0.012997,0.0042,0.0041,0.0044,16,1.000,0.00e+00
flame38m_g1_temporal_s2,1e18,temporal,1,64,6,2,random,own,matched,L9,1048576,1322,3.928106,1.3190,0.017239,0.016720,0.017737,0.0058,0.0056,0.0060,16,1.000,0.00e+00
flame38m_g1_temporal_s3,1e18,temporal,1,64,6,3,random,own,matched,all,1048576,1322,3.931582,1.3202,0.106156,0.104303,0.108171,0.0356,0.0350,0.0363,128,1.000,0.00e+00
