label,run,budget,regime,H,E,split,layer_from,layer_to,rank,subspace_overlap,chance_overlap,overlap_over_chance
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,2,63,0.1548,0.0783,1.976
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,3,63,0.1714,0.0783,2.189
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,4,63,0.1906,0.0783,2.434
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,5,63,0.2048,0.0783,2.615
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,6,63,0.2169,0.0783,2.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,7,63,0.2324,0.0783,2.968
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,8,63,0.2389,0.0783,3.05
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,9,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,10,63,0.2521,0.0783,3.219
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,11,63,0.2656,0.0783,3.392
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,12,63,0.2597,0.0783,3.315
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,13,63,0.2547,0.0783,3.252
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,9,14,63,0.2524,0.0783,3.223
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,2,63,0.1575,0.0783,2.011
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,3,63,0.1802,0.0783,2.301
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,4,63,0.1992,0.0783,2.544
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,5,63,0.2028,0.0783,2.589
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,6,63,0.2289,0.0783,2.923
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,7,63,0.2385,0.0783,3.045
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,8,63,0.2543,0.0783,3.247
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,9,63,0.2521,0.0783,3.219
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,10,63,1.0,0.0783,12.769
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,11,63,0.2792,0.0783,3.565
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,800,64,sequence,10,12,63,0.2732,0.0783,3.489
