"# AUTHORITATIVE ROWS ONLY: one row per (record, arm, task, metric), all from the single-pass sampled protocol (never greedy; eos-only stops; thinking stripped before scoring; budgets in max_gen_toks) or the bespoke producers listed in DATA_CONTRACT.md. Full history: superseded/instruct_genbench_vllm_history.csv"
model,E,k,arm,R,task,metric,value,limit,max_gen_toks,secs
qwen35_think_off,256,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.780000,200,2048,340
qwen35_think_off,256,8,R8,8,humaneval_instruct,sample_len,164.000000,full,2048,541
qwen35_think_off,256,8,R8,8,humaneval_instruct,"pass@1,create_test",0.914634,full,2048,541
qwen35_think_off,256,8,R32,32,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,329
qwen35_think_off,256,8,R32,32,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.815000,200,2048,329
qwen35_think_off,256,8,R32,32,humaneval_instruct,sample_len,164.000000,full,2048,528
qwen35_think_off,256,8,R32,32,humaneval_instruct,"pass@1,create_test",0.884146,full,2048,528
gptoss_20b_low,32,4,free,,ifeval,sample_len,200.000000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.685000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"inst_level_strict_acc,none",0.789308,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.720000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"inst_level_loose_acc,none",0.814465,200,8192,72
gptoss_20b_low,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.715000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.801887,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.760000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.836478,200,8192,400
gptoss_20b,32,4,free,,ifeval,sample_len,200.000000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.830000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,274
gptoss_20b,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.860000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"inst_level_loose_acc,none",0.911950,200,8192,274
gptoss_20b,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.770000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.849057,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.790000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.861635,200,8192,466
gptoss_20b_high,32,4,free,,ifeval,sample_len,200.000000,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.790000,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"inst_level_strict_acc,none",0.842767,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.795000,200,8192,297
