"# Downstream 10-task 0-shot for free-set cells. base_free / impose_R8 / CE_adapt_R8 are reused verbatim from olmoe_downstream_ref.csv (correct convention, gate_mass=preserve; rows before 08-08 joined the renorm-era reference instead — see downstream.py header). cell_gap_closed = (cell - impose)/(base_free - impose): 1.0 is free-routing quality, 0.0 is the untrained mask. Higher is better."
task,metric,base_free,impose_R8,CE_adapt_R8,cell_acc,cell_se,cell_minus_base,cell_minus_CE,cell_gap_closed,CE_gap_closed,cell,free_set,train_tokens,cell_bpb
piqa,acc,0.7845,0.7242,0.7280,0.7514,0.0101,-0.0331,+0.0234,0.4511,0.0630,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
piqa,acc_norm,0.7971,0.7203,0.7367,0.7541,0.0100,-0.0430,+0.0174,0.4401,0.2135,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
winogrande,acc,0.6938,0.5691,0.5991,0.5777,0.0139,-0.1161,-0.0214,0.0690,0.2406,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
openbookqa,acc,0.3260,0.2600,0.2200,0.2540,0.0195,-0.0720,+0.0340,-0.0909,-0.6061,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
openbookqa,acc_norm,0.4440,0.3740,0.3680,0.3640,0.0215,-0.0800,-0.0040,-0.1429,-0.0857,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
sciq,acc,0.9380,0.9150,0.9270,0.9160,0.0088,-0.0220,-0.0110,0.0435,0.5217,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
sciq,acc_norm,0.9230,0.9110,0.9150,0.8960,0.0097,-0.0270,-0.0190,-1.2500,0.3333,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
boolq,acc,0.7012,0.6309,0.6440,0.6508,0.0083,-0.0504,+0.0068,0.2831,0.1863,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
lambada_openai,acc,0.7056,0.4460,0.5791,0.6043,0.0068,-0.1013,+0.0252,0.6098,0.5127,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
copa,acc,0.8500,0.7500,0.7800,0.7900,0.0409,-0.0600,+0.0100,0.4000,0.3000,ce_free_0_1_14_15_attn,"0,1,14,15",50003968,0.785201
arc_easy,acc,0.7698,0.6364,0.6713,0.7041,0.0094,-0.0657,+0.0328,0.5075,0.2616,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
arc_easy,acc_norm,0.7677,0.6166,0.6616,0.6806,0.0096,-0.0871,+0.0190,0.4236,0.2978,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
arc_challenge,acc,0.4667,0.3055,0.3439,0.3763,0.0142,-0.0904,+0.0324,0.4392,0.2382,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
arc_challenge,acc_norm,0.4974,0.3430,0.3720,0.3831,0.0142,-0.1143,+0.0111,0.2597,0.1878,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
hellaswag,acc,0.5847,0.4864,0.4859,0.4825,0.0050,-0.1022,-0.0034,-0.0397,-0.0051,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
hellaswag,acc_norm,0.7809,0.6608,0.6527,0.6491,0.0048,-0.1318,-0.0036,-0.0974,-0.0674,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
piqa,acc,0.7845,0.7242,0.7280,0.7476,0.0101,-0.0369,+0.0196,0.3881,0.0630,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
piqa,acc_norm,0.7971,0.7203,0.7367,0.7563,0.0100,-0.0408,+0.0196,0.4687,0.2135,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
winogrande,acc,0.6938,0.5691,0.5991,0.5864,0.0138,-0.1074,-0.0127,0.1387,0.2406,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
openbookqa,acc,0.3260,0.2600,0.2200,0.2480,0.0193,-0.0780,+0.0280,-0.1818,-0.6061,ce_free_0_1_14_15_attn_250M,"0,1,14,15",250019840,0.783079
