label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,weighted,16458,15919.1,0.9148
s0_TEMPORAL,g3_tmoe_s0_1e16,2,97,static,16458,15987.7,0.8943
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,weighted,10365,15943.8,0.8748
s0_TEMPORAL,g3_tmoe_s0_1e16,2,98,static,10365,15985.3,0.8966
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,weighted,13901,15983.0,0.881
s0_TEMPORAL,g3_tmoe_s0_1e16,2,99,static,13901,15993.6,0.8898
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,weighted,8273,15957.1,0.9069
s0_TEMPORAL,g3_tmoe_s0_1e16,2,100,static,8273,15991.9,0.8984
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,weighted,19378,15985.3,0.8809
s0_TEMPORAL,g3_tmoe_s0_1e16,2,101,static,19378,15989.9,0.8853
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,weighted,11792,15964.5,0.8969
s0_TEMPORAL,g3_tmoe_s0_1e16,2,102,static,11792,15990.7,0.9164
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,weighted,13373,15982.8,0.902
s0_TEMPORAL,g3_tmoe_s0_1e16,2,103,static,13373,15993.7,0.9009
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,weighted,14229,15987.3,0.8823
s0_TEMPORAL,g3_tmoe_s0_1e16,2,104,static,14229,15989.6,0.8325
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,weighted,3283,15952.0,0.8962
s0_TEMPORAL,g3_tmoe_s0_1e16,2,105,static,3283,15988.0,0.864
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,weighted,12703,15953.6,0.9029
s0_TEMPORAL,g3_tmoe_s0_1e16,2,106,static,12703,15990.7,0.8586
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,weighted,11152,15984.0,0.9185
s0_TEMPORAL,g3_tmoe_s0_1e16,2,107,static,11152,15990.9,0.8907
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,weighted,13540,15972.4,0.9117
s0_TEMPORAL,g3_tmoe_s0_1e16,2,108,static,13540,15992.2,0.8853
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,weighted,13074,15991.0,0.8788
s0_TEMPORAL,g3_tmoe_s0_1e16,2,109,static,13074,15997.0,0.8573
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,weighted,5910,15962.9,0.8692
s0_TEMPORAL,g3_tmoe_s0_1e16,2,110,static,5910,15988.4,0.8986
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,weighted,16557,15999.2,0.9016
s0_TEMPORAL,g3_tmoe_s0_1e16,2,111,static,16557,15998.4,0.8511
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,weighted,16505,15955.8,0.8891
s0_TEMPORAL,g3_tmoe_s0_1e16,2,112,static,16505,15994.1,0.9021
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,weighted,16708,15984.2,0.9289
s0_TEMPORAL,g3_tmoe_s0_1e16,2,113,static,16708,15990.8,0.8658
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,weighted,13261,15986.7,0.8822
s0_TEMPORAL,g3_tmoe_s0_1e16,2,114,static,13261,15991.7,0.8658
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,weighted,6495,15980.6,0.9141
s0_TEMPORAL,g3_tmoe_s0_1e16,2,115,static,6495,15982.1,0.8922
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,weighted,15863,15980.6,0.9288
s0_TEMPORAL,g3_tmoe_s0_1e16,2,116,static,15863,15990.5,0.8929
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,weighted,15414,15920.5,0.9114
s0_TEMPORAL,g3_tmoe_s0_1e16,2,117,static,15414,15992.2,0.8858
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,weighted,11908,15975.1,0.8602
s0_TEMPORAL,g3_tmoe_s0_1e16,2,118,static,11908,15990.1,0.9025
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,weighted,13484,15989.9,0.9073
s0_TEMPORAL,g3_tmoe_s0_1e16,2,119,static,13484,15988.4,0.8697
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,weighted,8722,15986.2,0.9102
s0_TEMPORAL,g3_tmoe_s0_1e16,2,120,static,8722,15990.8,0.9132
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,weighted,14290,15998.9,0.8907
s0_TEMPORAL,g3_tmoe_s0_1e16,2,121,static,14290,15997.6,0.9354
s0_TEMPORAL,g3_tmoe_s0_1e16,2,122,weighted,15008,15994.5,0.8596
s0_TEMPORAL,g3_tmoe_s0_1e16,2,122,static,15008,15996.0,0.8954
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,weighted,13440,15987.7,0.9063
s0_TEMPORAL,g3_tmoe_s0_1e16,2,123,static,13440,15985.7,0.8875
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,weighted,13800,15979.4,0.8722
s0_TEMPORAL,g3_tmoe_s0_1e16,2,124,static,13800,15987.9,0.8893
s0_TEMPORAL,g3_tmoe_s0_1e16,2,125,weighted,12264,15984.1,0.8849
s0_TEMPORAL,g3_tmoe_s0_1e16,2,125,static,12264,15994.1,0.9064
s0_TEMPORAL,g3_tmoe_s0_1e16,2,126,weighted,11656,15997.4,0.8952
s0_TEMPORAL,g3_tmoe_s0_1e16,2,126,static,11656,15996.5,0.8909
s0_TEMPORAL,g3_tmoe_s0_1e16,2,127,weighted,15628,15989.3,0.8928
s0_TEMPORAL,g3_tmoe_s0_1e16,2,127,static,15628,15988.6,0.8527
s0_TEMPORAL,g3_tmoe_s0_1e16,2,128,weighted,20762,15995.8,0.835
s0_TEMPORAL,g3_tmoe_s0_1e16,2,128,static,20762,15995.8,0.8921
s0_TEMPORAL,g3_tmoe_s0_1e16,2,129,weighted,12329,15946.9,0.9328
s0_TEMPORAL,g3_tmoe_s0_1e16,2,129,static,12329,15986.8,0.9373
s0_TEMPORAL,g3_tmoe_s0_1e16,2,130,weighted,11065,15953.5,0.8983
s0_TEMPORAL,g3_tmoe_s0_1e16,2,130,static,11065,15985.7,0.8526
s0_TEMPORAL,g3_tmoe_s0_1e16,2,131,weighted,10431,15994.3,0.8924
s0_TEMPORAL,g3_tmoe_s0_1e16,2,131,static,10431,15991.0,0.8814
s0_TEMPORAL,g3_tmoe_s0_1e16,2,132,weighted,10826,15979.0,0.9018
s0_TEMPORAL,g3_tmoe_s0_1e16,2,132,static,10826,15993.3,0.8719
s0_TEMPORAL,g3_tmoe_s0_1e16,2,133,weighted,13788,15956.9,0.906
s0_TEMPORAL,g3_tmoe_s0_1e16,2,133,static,13788,15985.3,0.9002
s0_TEMPORAL,g3_tmoe_s0_1e16,2,134,weighted,9758,15977.9,0.9455
s0_TEMPORAL,g3_tmoe_s0_1e16,2,134,static,9758,15991.3,0.9144
s0_TEMPORAL,g3_tmoe_s0_1e16,2,135,weighted,13621,15993.6,0.8925
s0_TEMPORAL,g3_tmoe_s0_1e16,2,135,static,13621,15994.8,0.8953
s0_TEMPORAL,g3_tmoe_s0_1e16,2,136,weighted,14153,15994.9,0.8816
s0_TEMPORAL,g3_tmoe_s0_1e16,2,136,static,14153,15997.4,0.8819
s0_TEMPORAL,g3_tmoe_s0_1e16,2,137,weighted,11355,15946.8,0.8593
s0_TEMPORAL,g3_tmoe_s0_1e16,2,137,static,11355,15989.6,0.7718
s0_TEMPORAL,g3_tmoe_s0_1e16,2,138,weighted,16516,15996.4,0.8959
s0_TEMPORAL,g3_tmoe_s0_1e16,2,138,static,16516,15993.6,0.9047
s0_TEMPORAL,g3_tmoe_s0_1e16,2,139,weighted,14561,15959.6,0.9236
s0_TEMPORAL,g3_tmoe_s0_1e16,2,139,static,14561,15987.8,0.9181
s0_TEMPORAL,g3_tmoe_s0_1e16,2,140,weighted,13889,15979.0,0.8584
s0_TEMPORAL,g3_tmoe_s0_1e16,2,140,static,13889,15991.2,0.8963
s0_TEMPORAL,g3_tmoe_s0_1e16,2,141,weighted,17509,15990.7,0.8668
s0_TEMPORAL,g3_tmoe_s0_1e16,2,141,static,17509,15995.8,0.836
s0_TEMPORAL,g3_tmoe_s0_1e16,2,142,weighted,14653,15977.5,0.9084
s0_TEMPORAL,g3_tmoe_s0_1e16,2,142,static,14653,15990.7,0.8991
s0_TEMPORAL,g3_tmoe_s0_1e16,2,143,weighted,7536,15962.4,0.9342
s0_TEMPORAL,g3_tmoe_s0_1e16,2,143,static,7536,15990.2,0.8738
s0_TEMPORAL,g3_tmoe_s0_1e16,2,144,weighted,14895,15980.3,0.9118
s0_TEMPORAL,g3_tmoe_s0_1e16,2,144,static,14895,15993.4,0.8663
s0_TEMPORAL,g3_tmoe_s0_1e16,2,145,weighted,11841,15966.3,0.8821
s0_TEMPORAL,g3_tmoe_s0_1e16,2,145,static,11841,15989.5,0.903
s0_TEMPORAL,g3_tmoe_s0_1e16,2,146,weighted,16305,15992.7,0.8817
s0_TEMPORAL,g3_tmoe_s0_1e16,2,146,static,16305,15993.2,0.9305
s0_TEMPORAL,g3_tmoe_s0_1e16,2,147,weighted,12735,15989.7,0.9154
s0_TEMPORAL,g3_tmoe_s0_1e16,2,147,static,12735,15988.0,0.8844
s0_TEMPORAL,g3_tmoe_s0_1e16,2,148,weighted,11323,15973.9,0.8689
s0_TEMPORAL,g3_tmoe_s0_1e16,2,148,static,11323,15987.2,0.8811
s0_TEMPORAL,g3_tmoe_s0_1e16,2,149,weighted,6381,15997.1,0.864
s0_TEMPORAL,g3_tmoe_s0_1e16,2,149,static,6381,15997.4,0.8076
s0_TEMPORAL,g3_tmoe_s0_1e16,2,150,weighted,12306,15970.3,0.9089
s0_TEMPORAL,g3_tmoe_s0_1e16,2,150,static,12306,15989.9,0.8843
