"# qwen3 per-layer damage d_l(R): solo layer l constrained at R, others free, base surface; then fitted greedy allocation vs uniform at iso-memory slot budgets, both surfaces. Training-free, min_logit <=1 swap/token, gate_mass=preserve. free_set column: ALL = every layer free, all_but_l = solo cell. Producer: analysis/ple/frontier_qwen.py --perlayer"
stage,surface,cell,R,free_set,R_map,bpb,swap_rate,n_seq,secs
layers,base,solo_L40_R24,24,all_but_40,,0.616915,1.0000,16,4.7
layers,base,solo_L41_R8,8,all_but_41,,0.620022,0.9973,16,4.7
layers,base,solo_L41_R12,12,all_but_41,,0.618455,0.9996,16,4.8
layers,base,solo_L41_R16,16,all_but_41,,0.617810,0.9999,16,4.8
layers,base,solo_L41_R24,24,all_but_41,,0.617147,1.0000,16,4.8
layers,base,solo_L42_R8,8,all_but_42,,0.620498,0.9988,16,4.8
layers,base,solo_L42_R12,12,all_but_42,,0.619011,0.9998,16,4.7
layers,base,solo_L42_R16,16,all_but_42,,0.617987,1.0000,16,4.7
layers,base,solo_L42_R24,24,all_but_42,,0.617191,1.0000,16,4.7
layers,base,solo_L43_R8,8,all_but_43,,0.618802,0.9985,16,4.7
layers,base,solo_L43_R12,12,all_but_43,,0.617554,0.9998,16,4.7
layers,base,solo_L43_R16,16,all_but_43,,0.616870,0.9999,16,4.7
layers,base,solo_L43_R24,24,all_but_43,,0.616347,1.0000,16,4.7
layers,base,solo_L44_R8,8,all_but_44,,0.618809,0.9984,16,4.7
layers,base,solo_L44_R12,12,all_but_44,,0.617233,0.9996,16,4.7
layers,base,solo_L44_R16,16,all_but_44,,0.616783,0.9999,16,4.7
layers,base,solo_L44_R24,24,all_but_44,,0.616196,1.0000,16,4.7
layers,base,solo_L45_R8,8,all_but_45,,0.617606,0.9980,16,4.7
layers,base,solo_L45_R12,12,all_but_45,,0.616723,0.9995,16,4.7
layers,base,solo_L45_R16,16,all_but_45,,0.616395,0.9999,16,4.7
layers,base,solo_L45_R24,24,all_but_45,,0.616086,1.0000,16,4.7
layers,base,solo_L46_R8,8,all_but_46,,0.619645,0.9976,16,4.7
layers,base,solo_L46_R12,12,all_but_46,,0.618139,0.9995,16,4.7
layers,base,solo_L46_R16,16,all_but_46,,0.617539,0.9998,16,4.7
layers,base,solo_L46_R24,24,all_but_46,,0.616670,1.0000,16,4.7
layers,base,solo_L47_R8,8,all_but_47,,0.650863,0.9992,16,4.7
layers,base,solo_L47_R12,12,all_but_47,,0.636058,0.9998,16,4.7
layers,base,solo_L47_R16,16,all_but_47,,0.629310,0.9999,16,4.7
layers,base,solo_L47_R24,24,all_but_47,,0.623428,1.0000,16,4.7
alloc,base,fitted_B576,8,,0:15;1:11;2:8;3:11;4:8;5:13;6:10;7:9;8:9;9:10;10:8;11:8;12:8;13:8;14:9;15:8;16:9;17:8;18:8;19:8;20:8;21:8;22:9;23:10;24:8;25:8;26:8;27:11;28:11;29:10;30:11;31:8;32:8;33:9;34:11;35:11;36:12;37:16;38:16;39:15;40:16;41:21;42:23;43:18;44:18;45:15;46:21;47:50,0.669544,0.9983,16,5.3
alloc,base,uniform_B576,12,,,0.692144,0.9994,16,5.3
alloc,distill100M,fitted_B576,8,,0:15;1:11;2:8;3:11;4:8;5:13;6:10;7:9;8:9;9:10;10:8;11:8;12:8;13:8;14:9;15:8;16:9;17:8;18:8;19:8;20:8;21:8;22:9;23:10;24:8;25:8;26:8;27:11;28:11;29:10;30:11;31:8;32:8;33:9;34:11;35:11;36:12;37:16;38:16;39:15;40:16;41:21;42:23;43:18;44:18;45:15;46:21;47:50,0.652875,0.9985,16,5.3
alloc,distill100M,uniform_B576,12,,,0.656249,0.9995,16,5.3
alloc,base,fitted_B768,8,,0:21;1:17;2:13;3:16;4:8;5:16;6:12;7:12;8:14;9:13;10:8;11:8;12:9;13:8;14:11;15:8;16:12;17:11;18:10;19:8;20:10;21:8;22:12;23:14;24:9;25:12;26:12;27:14;28:16;29:13;30:12;31:9;32:8;33:13;34:16;35:17;36:18;37:25;38:23;39:21;40:24;41:30;42:32;43:25;44:24;45:20;46:29;47:67,0.654977,0.9989,16,5.3
alloc,base,uniform_B768,16,,,0.671907,0.9999,16,5.3
alloc,distill100M,fitted_B768,8,,0:21;1:17;2:13;3:16;4:8;5:16;6:12;7:12;8:14;9:13;10:8;11:8;12:9;13:8;14:11;15:8;16:12;17:11;18:10;19:8;20:10;21:8;22:12;23:14;24:9;25:12;26:12;27:14;28:16;29:13;30:12;31:9;32:8;33:13;34:16;35:17;36:18;37:25;38:23;39:21;40:24;41:30;42:32;43:25;44:24;45:20;46:29;47:67,0.647913,0.9990,16,5.3
alloc,distill100M,uniform_B768,16,,,0.650125,0.9999,16,5.3
