run,budget,regime,grain,ema_beta,layer,swap_rate,set_coverage,mass_coverage
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.5,2,0.95802,0.87855,1.00000
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.5,3,0.95849,0.86169,0.99939
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.5,4,0.95970,0.85927,0.98330
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.5,all,0.95874,0.86650,0.99423
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.25,2,0.80148,0.93209,1.00000
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.25,3,0.82355,0.92106,0.99981
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.25,4,0.83090,0.92023,0.99314
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.25,all,0.81864,0.92446,0.99765
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.1,2,0.47778,0.97028,1.00000
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.1,3,0.52074,0.96572,0.99994
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.1,4,0.53236,0.96519,0.99753
g3_tmoe_s0_1e16_bursty,1e16,temporal,fine 18/192,0.1,all,0.51029,0.96706,0.99916
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,2,0.99994,0.36961,0.41566
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,3,0.99998,0.32665,0.37620
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,4,0.99995,0.44312,0.49378
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,1,all,0.99996,0.37979,0.42855
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.5,2,0.99991,0.49939,0.56041
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.5,3,0.99981,0.44885,0.50733
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.5,4,0.99979,0.57718,0.63288
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.5,all,0.99983,0.50847,0.56687
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.25,2,0.99895,0.64100,0.69179
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.25,3,0.99866,0.59664,0.64267
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.25,4,0.99628,0.71378,0.75738
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.25,all,0.99796,0.65047,0.69728
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.1,2,0.97144,0.82990,0.85546
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.1,3,0.97530,0.81718,0.83974
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.1,4,0.91882,0.88043,0.90095
g3_tmoe_s0_1e16_head,1e16,temporal,fine 18/192,0.1,all,0.95519,0.84250,0.86538
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,2,0.99997,0.25705,0.29960
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,3,0.99995,0.31204,0.35703
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,4,0.99995,0.40391,0.44924
g3_tmoe_s0_1e16_head_b05,1e16,temporal,fine 18/192,1,all,0.99996,0.32434,0.36862
