model,nomination_protocol,eviction_kernel,set_coverage,ci_lo,ci_hi,swap_rate,eff_experts,union,max_residency
"38M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.0625 (tau~16 tok)",0.3790,0.3052,0.4330,0.8265,20.23,42,0.7763
"38M active, coarse (6 of 64 experts)",trace,"EMA demand, gamma=0.03125 (tau~32 tok)",0.2892,0.1925,0.3493,0.8037,20.05,42,0.6484
"38M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 0.5*slow 0.03125",0.3988,0.3212,0.4498,0.9041,25.48,42,0.7580
"38M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 1*slow 0.03125",0.4102,0.3204,0.4779,0.9087,22.54,42,0.8402
"38M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 2*slow 0.03125",0.4155,0.3379,0.4749,0.8904,20.56,42,0.8584
"38M active, coarse (6 of 64 experts)",trace,"two-scale EMA, fast 0.5 + 4*slow 0.03125",0.4186,0.3356,0.4825,0.8721,19.55,42,0.8539
"38M active, coarse (6 of 64 experts)",trace,Belady (oracle eviction),0.4886,0.4155,0.5388,0.8082,23.66,42,0.7306
"38M active, coarse (6 of 64 experts)",selfnom,lru = FIFO (box on admissions),0.3714,0.3052,0.4224,1.0000,25.93,36,0.6027
"38M active, coarse (6 of 64 experts)",selfnom,LRD (refresh on demand),0.4193,0.3356,0.4795,0.9909,25.16,40,0.6849
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=1",0.4018,0.3272,0.4574,0.9909,26.96,40,0.6347
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=2",0.4163,0.3478,0.4711,0.9863,25.28,39,0.6667
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=4",0.4254,0.3500,0.4863,0.9863,24.83,39,0.7123
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=8",0.4262,0.3455,0.4848,0.9817,23.23,39,0.7169
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=16",0.4414,0.3706,0.4992,0.9863,21.11,39,0.7352
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=32",0.4224,0.3455,0.4795,0.9817,19.58,37,0.7215
"38M active, coarse (6 of 64 experts)",selfnom,"box-W demand count, W=64",0.4033,0.3067,0.4756,0.9817,16.84,33,0.8219
"38M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.5 (tau~2 tok)",0.4231,0.3364,0.4848,0.9909,24.75,40,0.7032
"38M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.25 (tau~4 tok)",0.4254,0.3402,0.4871,0.9863,23.09,39,0.7260
"38M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.125 (tau~8 tok)",0.4444,0.3645,0.5038,0.9863,21.54,39,0.7397
"38M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.0625 (tau~16 tok)",0.4346,0.3600,0.4901,0.9817,19.34,38,0.7626
"38M active, coarse (6 of 64 experts)",selfnom,"EMA demand, gamma=0.03125 (tau~32 tok)",0.4216,0.3379,0.4878,0.9817,16.91,38,0.8402
"38M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 0.5*slow 0.03125",0.4285,0.3493,0.4871,0.9863,22.72,40,0.7397
"38M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 1*slow 0.03125",0.4307,0.3500,0.4932,0.9863,21.82,41,0.7397
"38M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 2*slow 0.03125",0.4429,0.3760,0.4985,0.9817,20.61,39,0.7443
"38M active, coarse (6 of 64 experts)",selfnom,"two-scale EMA, fast 0.5 + 4*slow 0.03125",0.4368,0.3539,0.4954,0.9772,18.67,37,0.8447
