group,name,metric,value,note
accounting,512,train_param_plus_grad_GiB,0.317,"U[50304,512] + V[512,16,2048]"
accounting,512,train_adam8bit_GiB,0.079,"U[50304,512] + V[512,16,2048]"
accounting,512,train_total_adam8bit_GiB,0.396,"U[50304,512] + V[512,16,2048]"
accounting,full,total_params,1648361472,"unfactored table [vocab, layers, hidden]"
accounting,full,flash_fetch_bytes_per_token,65536,"unfactored table [vocab, layers, hidden]"
accounting,full,resident_basis_bytes,0,"unfactored table [vocab, layers, hidden]"
accounting,full,expert_swap_bytes,12582912,"unfactored table [vocab, layers, hidden]"
accounting,full,fetch_vs_expert_swap,0.005208,"unfactored table [vocab, layers, hidden]"
accounting,full,train_param_plus_grad_GiB,12.281,"unfactored table [vocab, layers, hidden]"
accounting,full,train_adam8bit_GiB,3.07,"unfactored table [vocab, layers, hidden]"
accounting,full,train_total_adam8bit_GiB,15.352,"unfactored table [vocab, layers, hidden]"
locus,p4_ce_ple_128,token_AUC_median,0.650022,
locus,p4_ce_ple_128,context_AUC_median,0.738506,
locus,p4_ce_ple_128,context_minus_token_median,0.094917,
locus,p4_ce_ple_128,n_experts_probed,320,
locus,p4_seq_ple_512,token_AUC_median,0.650654,
locus,p4_seq_ple_512,context_AUC_median,0.737467,
locus,p4_seq_ple_512,context_minus_token_median,0.096374,
locus,p4_seq_ple_512,n_experts_probed,320,
locus,p4_csurf_only,token_AUC_median,0.653762,
locus,p4_csurf_only,context_AUC_median,0.734122,
locus,p4_csurf_only,context_minus_token_median,0.093237,
locus,p4_csurf_only,n_experts_probed,318,
cal_stack,"base norms, base router, R=8",bpb,2.750704,no
cal_stack,"base norms, base router, R=8",recovery_pct,-0.0,no
cal_stack,"Cal-0 calibrated norms (clip 0.5-2.0), base router, R=8",bpb,2.096512,no
cal_stack,"Cal-0 calibrated norms (clip 0.5-2.0), base router, R=8",recovery_pct,31.48,no
cal_stack,"base norms, base router, R=8 + PLE calib_table_rfull.pt",bpb,1.973545,no
cal_stack,"base norms, base router, R=8 + PLE calib_table_rfull.pt",recovery_pct,37.4,no
cal_stack,"calibrated norms (clip 0.5-2.0), base router, R=8 + PLE calib_table_rfull.pt",bpb,1.646688,no
cal_stack,"calibrated norms (clip 0.5-2.0), base router, R=8 + PLE calib_table_rfull.pt",recovery_pct,53.13,no
cal_stack,"base norms, base router, R=8 + PLE calib_table_r512.pt",bpb,2.088235,no
cal_stack,"base norms, base router, R=8 + PLE calib_table_r512.pt",recovery_pct,31.88,no
cal_stack,"calibrated norms (clip 0.5-2.0), base router, R=8 + PLE calib_table_r512.pt",bpb,1.767139,no
cal_stack,"calibrated norms (clip 0.5-2.0), base router, R=8 + PLE calib_table_r512.pt",recovery_pct,47.33,no
row_norms,0,n_rows,1113,ladder_full
row_norms,0,mean_row_norm,0.0,ladder_full
row_norms,0,mean_contrib_rms,0.0,ladder_full
row_norms,0,frac_rows_exactly_zero,1.0,ladder_full
row_norms,1,n_rows,391,ladder_full
row_norms,1,mean_row_norm,0.28232345,ladder_full
row_norms,1,mean_contrib_rms,0.0012334216,ladder_full
row_norms,1,frac_rows_exactly_zero,0.0,ladder_full
row_norms,2-9,n_rows,2442,ladder_full
row_norms,2-9,mean_row_norm,0.50604761,ladder_full
row_norms,2-9,mean_contrib_rms,0.0022111256,ladder_full
row_norms,2-9,frac_rows_exactly_zero,0.004914,ladder_full
row_norms,10-99,n_rows,16536,ladder_full
row_norms,10-99,mean_row_norm,0.928078,ladder_full
row_norms,10-99,mean_contrib_rms,0.004057006,ladder_full
row_norms,10-99,frac_rows_exactly_zero,0.002782,ladder_full
row_norms,100-999,n_rows,24778,ladder_full
row_norms,100-999,mean_row_norm,1.16074014,ladder_full
row_norms,100-999,mean_contrib_rms,0.0050762384,ladder_full
row_norms,100-999,frac_rows_exactly_zero,0.003995,ladder_full
row_norms,1000-9999,n_rows,4550,ladder_full
row_norms,1000-9999,mean_row_norm,1.23522925,ladder_full
row_norms,1000-9999,mean_contrib_rms,0.00540624,ladder_full
row_norms,1000-9999,frac_rows_exactly_zero,0.000659,ladder_full
row_norms,10000-99999,n_rows,450,ladder_full
row_norms,10000-99999,mean_row_norm,1.25731552,ladder_full
row_norms,10000-99999,mean_contrib_rms,0.0055144704,ladder_full
row_norms,10000-99999,frac_rows_exactly_zero,0.0,ladder_full
row_norms,100000+,n_rows,44,ladder_full
row_norms,100000+,mean_row_norm,1.44851124,ladder_full
row_norms,100000+,mean_contrib_rms,0.0063829795,ladder_full
row_norms,100000+,frac_rows_exactly_zero,0.0,ladder_full
coverage,audited_slice,vocab,50304,
coverage,audited_slice,corpus_tokens,1000001536,
coverage,audited_slice,slice_tokens,99999744,
coverage,audited_slice,eval_subset_seqs,256,
coverage,audited_slice,eval_subset_target_tokens,1048320,
coverage,audited_slice,coverage_by_type,0.990955,
coverage,audited_slice,n_types_covered,49849,
