run,budget,regime,grain,policy,layer,set_coverage,mass_coverage
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,10,0.38032,0.43947
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,11,0.40370,0.46452
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,12,0.38968,0.44855
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,13,0.37497,0.42194
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,14,0.42398,0.47763
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit,all,0.28328,0.31923
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,2,0.11146,0.11315
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,3,0.14544,0.16033
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,4,0.15631,0.16697
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,5,0.17416,0.18804
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,6,0.20952,0.23763
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,7,0.23693,0.27062
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,8,0.26338,0.30396
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,9,0.28369,0.33725
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,10,0.33031,0.38775
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,11,0.35212,0.41185
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,12,0.33679,0.39374
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,13,0.32014,0.36530
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,14,0.34901,0.40244
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,LRU,all,0.25148,0.28762
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),2,0.10321,0.10636
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),3,0.12161,0.13355
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),4,0.12193,0.12686
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),5,0.13852,0.14597
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),6,0.18727,0.20870
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),7,0.22672,0.25726
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),8,0.23857,0.27816
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),9,0.26672,0.32165
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),10,0.30673,0.36820
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),11,0.30989,0.37333
g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,min_logit+tau*(2.0),12,0.30768,0.36972
