# expert output similarity per run and MoE layer (analysis/probes/expert_similarity.py, N sampled tokens from one cached test micro-batch, every routed expert evaluated on the same inputs, ungated, shared expert excluded); cos_* are mean cosines between expert outputs, relerr_* relative output differences, layer_relchange_* the relative change of the gated layer output when the displaced expert's output is swapped for the substitute's at the same gate, cos_weights the mean pairwise cosine of flattened expert weights; regime init = random initialisation of the same shape. Prediction test vs substitution_tolerance.csv: n_pair_layers=84; spearman_layerchange_gap_vs_subst_gap=0.094; spearman_cos_gap_vs_subst_gap=0.405; n_model_layers=168; spearman_layerchange_vs_subst_within_models=0.070. Producer analysis/residency/expert_similarity.py
run,budget,regime,grain,seed,experts,topk,n_tokens,layer,cos_all,cos_sel_nextbest,cos_sel_random,cos_sel_stale,cos_weights,cos_within_topk,frac_has_stale,layer_relchange_nextbest,layer_relchange_random,layer_relchange_stale,layer_relchange_zero,mean_gate_displaced,mean_out_norm,relerr_all,relerr_sel_nextbest,relerr_sel_random,relerr_sel_stale,tokens_sha256
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,6,0.02829,0.07515,0.03307,0.03762,0.00151,0.06915,0.99854,0.34406,0.34573,0.35140,0.26989,0.16514,0.33844,1.43233,1.45722,1.57446,1.52816,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,7,0.02655,0.07030,0.03155,0.03530,0.00152,0.06302,1.00000,0.34636,0.33934,0.34332,0.26622,0.16317,0.43367,1.45680,1.44647,1.59115,1.55530,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,8,0.02647,0.07125,0.03394,0.03592,0.00118,0.06357,0.99902,0.35619,0.34428,0.34711,0.27872,0.16784,0.47737,1.47800,1.49917,1.68851,1.66514,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s2,1e18,temporal,1,2,64,6,2048,9,0.04384,0.10507,0.05232,0.05799,0.00107,0.09897,0.99756,0.33364,0.32408,0.32058,0.26517,0.16645,0.73840,1.45950,1.48858,1.75986,1.76102,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,2,0.03811,0.07157,0.04176,0.04156,0.00072,0.06431,0.99951,0.36619,0.39656,0.42521,0.28175,0.16576,0.14711,1.44111,1.55591,1.54702,1.46588,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,3,0.02532,0.06904,0.02871,0.02999,0.00118,0.05603,0.99951,0.32882,0.34369,0.35501,0.25733,0.16689,0.27062,1.45200,1.46561,1.50076,1.45248,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,4,0.02898,0.07487,0.03914,0.03729,0.00152,0.06577,1.00000,0.33796,0.34452,0.34903,0.26358,0.16372,0.28067,1.46399,1.45162,1.52674,1.50657,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,5,0.02195,0.05915,0.02608,0.02880,0.00168,0.05157,0.99902,0.35534,0.35420,0.35840,0.27540,0.16932,0.34306,1.44347,1.45765,1.56077,1.53062,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,6,0.02103,0.04892,0.03044,0.03017,0.00137,0.04737,0.99902,0.37739,0.36724,0.36973,0.28668,0.16741,0.35885,1.46106,1.46708,1.57684,1.56506,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
flame38m_g1_temporal_s3,1e18,temporal,1,3,64,6,2048,7,0.02143,0.05529,0.02621,0.02663,0.00127,0.04884,0.99951,0.36702,0.35710,0.36087,0.27881,0.16591,0.42267,1.45278,1.46391,1.59150,1.56709,f5729a9b96ac2436cadbf9f6bfadc65e74c8954d90f58f65df26076178851aa3
