run,budget,regime,grain,resident_cache_K_over_k,hit_rate,mean_lifetime_tokens
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,7.667,0.86742,159.571
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,8.222,0.89727,187.637
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,8.778,0.92601,231.219
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,9.333,0.95141,304.225
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,9.889,0.97540,470.030
g3_tmoe_s0_1e16_head_c,1e16,temporal,fine 18/192,10.444,0.99423,1063.420
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1.000,0.34928,17.852
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,1.556,0.44997,27.692
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,2.111,0.52521,37.549
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,2.667,0.58040,47.373
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,3.222,0.62830,57.184
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,3.778,0.66680,67.062
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,4.333,0.70051,77.068
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,4.889,0.73317,87.522
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,5.444,0.75988,98.430
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,6.000,0.78804,110.019
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,6.556,0.81053,122.827
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,7.111,0.83552,137.246
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,7.667,0.86067,154.799
g3_tmoe_s0_1e16_head_tc,1e16,temporal,fine 18/192,8.222,0.88530,177.041
