run,layer,expert,out_l2_mean,sel_count,interm_max,interm_kurt,rlogit_mean,rlogit_std,rlogit_mean_res,rlogit_mean_nonres,gate_mean,gate_std
g1_moe,2,5,0.918269,5257,4,0.500913,-5.0325,1.18071,,,0.159728,0.128788
g1_moe,2,6,0.679483,6301,3.85938,1.79347,-4.93084,1.15036,,,0.197181,0.12212
g1_moe,2,7,0.866244,5631,4.3125,0.853998,-5.08101,1.1566,,,0.175795,0.123941
g1_moe,2,8,0.893577,5907,4.53125,0.755488,-4.95639,1.09375,,,0.15925,0.11922
g1_moe,2,9,0.876378,6880,3.98438,0.625657,-4.96079,1.19918,,,0.161736,0.116483
g1_moe,2,10,0.970306,5837,4.9375,0.643798,-5.16167,1.16671,,,0.127158,0.0944313
g1_moe,2,11,0.79185,8945,3.71875,0.493477,-4.80692,1.22546,,,0.140007,0.107441
g1_moe,2,12,0.797946,5539,4,0.908919,-4.62349,1.01755,,,0.233792,0.14312
g1_moe,2,13,0.794623,5624,5.21875,1.28423,-4.84448,1.07254,,,0.25665,0.119114
g1_moe,2,14,0.800928,5590,4.65625,1.15448,-4.91749,1.05043,,,0.183782,0.121383
g1_moe,2,15,0.665896,6307,4.84375,1.93316,-4.71274,1.03731,,,0.199835,0.116709
g1_moe,2,16,0.802184,5555,4.3125,1.13579,-4.87753,1.04475,,,0.113061,0.0966808
g1_moe,2,17,1.03263,6558,5.25,0.846222,-5.1528,1.26033,,,0.186362,0.109573
g1_moe,2,18,0.943342,5473,4.625,1.06125,-5.23525,1.23935,,,0.133298,0.0958443
g1_moe,2,19,0.8061,5580,4.8125,1.45444,-5.20172,1.1729,,,0.166313,0.0922336
g1_moe,2,20,0.74913,6084,4.78125,1.5243,-4.91164,1.07681,,,0.112185,0.075546
g1_moe,2,21,0.640355,5975,3.875,1.22617,-4.75778,1.03176,,,0.204748,0.232535
g1_moe,2,22,0.858538,5807,4.3125,1.03785,-5.116,1.12132,,,0.136843,0.0917743
g1_moe,2,23,0.822428,5841,5.5,1.67494,-5.09996,1.13002,,,0.136935,0.0854076
