label,run,budget,regime,layer,expert,variant,n_tokens,eff_vocab,dispersion
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,53,weighted,12449,6530.2,0.8114
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,53,static,12449,25656.1,0.9378
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,54,weighted,12418,3222.8,0.7462
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,54,static,12418,10360.0,0.854
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,55,weighted,11810,16057.9,0.8945
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,55,static,11810,27629.6,0.9447
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,56,weighted,12111,11349.5,0.8625
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,56,static,12111,28267.2,0.9468
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,57,weighted,11708,2358.5,0.7173
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,57,static,11708,28824.4,0.9486
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,58,weighted,12179,13273.5,0.8769
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,58,static,12179,28221.0,0.9466
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,59,weighted,11394,9125.7,0.8423
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,59,static,11394,25727.5,0.9381
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,60,weighted,11917,1980.4,0.7012
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,60,static,11917,25764.7,0.9382
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,61,weighted,12026,16180.6,0.8952
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,61,static,12026,23680.6,0.9304
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,62,weighted,12468,997.0,0.6378
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,62,static,12468,24143.5,0.9322
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,63,weighted,13440,7371.8,0.8226
flame38m_g1_moe,flame38m_g1_moe,1e18,full,3,63,static,13440,22308.8,0.9249
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,0,weighted,11959,5247.4,0.7912
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,0,static,11959,22601.9,0.9261
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,1,weighted,11385,1297.7,0.6622
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,1,static,11385,13425.7,0.878
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,2,weighted,12797,16847.9,0.899
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,2,static,12797,26761.3,0.9417
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,3,weighted,12850,12120.0,0.8685
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,3,static,12850,13121.9,0.8759
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,4,weighted,11433,3955.2,0.7651
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,4,static,11433,24107.9,0.9321
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,5,weighted,13060,6648.5,0.8131
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,5,static,13060,18140.2,0.9058
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,6,weighted,11027,13453.9,0.8782
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,6,static,11027,16536.1,0.8972
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,7,weighted,11249,10942.9,0.8591
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,7,static,11249,20157.4,0.9155
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,8,weighted,11554,14000.9,0.8819
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,8,static,11554,21835.4,0.9229
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,9,weighted,11586,9605.3,0.8471
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,9,static,11586,22187.8,0.9244
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,10,weighted,12609,15781.9,0.8929
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,10,static,12609,26002.7,0.939
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,11,weighted,12523,11142.6,0.8608
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,11,static,12523,27965.0,0.9458
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,12,weighted,12844,7687.4,0.8265
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,12,static,12844,20984.3,0.9192
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,13,weighted,11664,14095.1,0.8825
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,13,static,11664,27996.3,0.9459
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,14,weighted,12049,11262.0,0.8618
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,14,static,12049,19004.1,0.9101
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,15,weighted,13679,3928.9,0.7645
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,15,static,13679,22000.8,0.9236
flame38m_g1_moe,flame38m_g1_moe,1e18,full,4,16,weighted,11855,17476.9,0.9023
