run,iteration,train_lm_loss,final_test_ce,seed
flame512_g1_moe,425,4.665693E+00,,1234
flame512_g1_moe,430,4.657812E+00,,1234
flame512_g1_moe,435,4.640068E+00,,1234
flame512_g1_moe,440,4.624958E+00,,1234
flame512_g1_moe,445,4.618271E+00,,1234
flame512_g1_moe,450,4.627233E+00,,1234
flame512_g1_moe,455,4.619925E+00,,1234
flame512_g1_moe,460,4.606987E+00,,1234
flame512_g1_moe,465,4.585826E+00,,1234
flame512_g1_moe,470,4.578342E+00,,1234
flame512_g1_moe,475,4.566512E+00,,1234
flame512_g1_moe,480,4.549205E+00,,1234
flame512_g1_moe,485,4.542894E+00,,1234
flame512_g1_moe,490,4.528048E+00,,1234
flame512_g1_moe,495,4.548413E+00,,1234
flame512_g1_moe,500,4.531086E+00,,1234
flame512_g1_moe,505,4.520811E+00,,1234
flame512_g1_moe,510,4.502651E+00,,1234
flame512_g1_moe,515,4.487068E+00,,1234
flame512_g1_moe,520,4.472207E+00,,1234
flame512_g1_moe,525,4.482398E+00,,1234
flame512_g1_moe,530,4.478532E+00,,1234
flame512_g1_moe,535,4.475253E+00,,1234
flame512_g1_moe,540,4.470642E+00,,1234
flame512_g1_moe,545,4.461842E+00,,1234
flame512_g1_moe,550,4.437311E+00,,1234
flame512_g1_moe,555,4.435746E+00,,1234
flame512_g1_moe,560,4.416192E+00,,1234
flame512_g1_moe,565,4.417705E+00,,1234
flame512_g1_moe,570,4.402111E+00,,1234
flame512_g1_moe,575,4.405240E+00,,1234
flame512_g1_moe,580,4.408918E+00,,1234
flame512_g1_moe,585,4.386672E+00,,1234
flame512_g1_moe,590,4.378953E+00,,1234
flame512_g1_moe,595,4.361080E+00,,1234
flame512_g1_moe,600,4.359758E+00,,1234
flame512_g1_moe,605,4.344527E+00,,1234
flame512_g1_moe,610,4.352694E+00,,1234
flame512_g1_moe,615,4.336322E+00,,1234
flame512_g1_moe,620,4.329877E+00,,1234
flame512_g1_moe,625,4.323837E+00,,1234
flame512_g1_moe,630,4.320593E+00,,1234
flame512_g1_moe,635,4.301979E+00,,1234
flame512_g1_moe,640,4.293736E+00,,1234
flame512_g1_moe,645,4.292429E+00,,1234
flame512_g1_moe,650,4.303706E+00,,1234
flame512_g1_moe,655,4.284745E+00,,1234
flame512_g1_moe,660,4.273464E+00,,1234
flame512_g1_moe,665,4.257582E+00,,1234
flame512_g1_moe,670,4.251566E+00,,1234
flame512_g1_moe,675,4.254969E+00,,1234
flame512_g1_moe,680,4.256126E+00,,1234
flame512_g1_moe,685,4.247538E+00,,1234
flame512_g1_moe,690,4.236559E+00,,1234
flame512_g1_moe,695,4.223325E+00,,1234
flame512_g1_moe,700,4.215009E+00,,1234
flame512_g1_moe,705,4.221978E+00,,1234
flame512_g1_moe,710,4.202882E+00,,1234
flame512_g1_moe,715,4.194758E+00,,1234
flame512_g1_moe,720,4.195106E+00,,1234
flame512_g1_moe,725,4.198672E+00,,1234
flame512_g1_moe,730,4.176062E+00,,1234
flame512_g1_moe,735,4.167836E+00,,1234
flame512_g1_moe,740,4.154815E+00,,1234
flame512_g1_moe,745,4.158154E+00,,1234
flame512_g1_moe,750,4.152420E+00,,1234
flame512_g1_moe,755,4.142900E+00,,1234
flame512_g1_moe,760,4.130086E+00,,1234
flame512_g1_moe,765,4.128535E+00,,1234
flame512_g1_moe,770,4.120718E+00,,1234
flame512_g1_moe,775,4.117088E+00,,1234
flame512_g1_moe,780,4.114588E+00,,1234
flame512_g1_moe,785,4.113343E+00,,1234
flame512_g1_moe,790,4.115769E+00,,1234
flame512_g1_moe,795,4.111118E+00,,1234
flame512_g1_moe,800,4.102522E+00,,1234
flame512_g1_moe,802,,4.099431,1234
flame512_g1_temporal,5,1.057595E+01,,1234
flame512_g1_temporal,10,9.707939E+00,,1234
flame512_g1_temporal,15,8.914792E+00,,1234
