run,layer,expert,resident_frac,selected_frac
g1_temporal,5,47,0.083527,0.087784
g1_temporal,5,48,0.075974,0.077377
g1_temporal,5,49,0.105682,0.092453
g1_temporal,5,50,0.068604,0.072571
g1_temporal,5,51,0.081635,0.088348
g1_temporal,5,52,0.082184,0.095520
g1_temporal,5,53,0.104477,0.087845
g1_temporal,5,54,0.121216,0.128754
g1_temporal,5,55,0.086594,0.087631
g1_temporal,5,56,0.073135,0.079880
g1_temporal,5,57,0.087204,0.092545
g1_temporal,5,58,0.105347,0.094269
g1_temporal,5,59,0.105087,0.094910
g1_temporal,5,60,0.115906,0.078003
g1_temporal,5,61,0.103287,0.104385
g1_temporal,5,62,0.094940,0.086121
g1_temporal,5,63,0.088913,0.082413
g1_temporal,6,0,0.100159,0.095688
g1_temporal,6,1,0.094498,0.093033
g1_temporal,6,2,0.073135,0.104721
g1_temporal,6,3,0.077133,0.087585
g1_temporal,6,4,0.122040,0.123459
g1_temporal,6,5,0.099197,0.080948
g1_temporal,6,6,0.095627,0.109207
g1_temporal,6,7,0.120636,0.116760
g1_temporal,6,8,0.081650,0.077072
g1_temporal,6,9,0.084229,0.090103
g1_temporal,6,10,0.111542,0.106857
g1_temporal,6,11,0.123642,0.106583
g1_temporal,6,12,0.084656,0.076645
g1_temporal,6,13,0.097794,0.103836
g1_temporal,6,14,0.090607,0.088043
g1_temporal,6,15,0.093216,0.079666
g1_temporal,6,16,0.124817,0.115936
g1_temporal,6,17,0.112961,0.072006
g1_temporal,6,18,0.073090,0.088043
g1_temporal,6,19,0.086975,0.082062
g1_temporal,6,20,0.086807,0.083435
g1_temporal,6,21,0.091278,0.079758
g1_temporal,6,22,0.091263,0.091904
g1_temporal,6,23,0.091278,0.098328
g1_temporal,6,24,0.115479,0.108688
g1_temporal,6,25,0.091721,0.078323
g1_temporal,6,26,0.090973,0.083740
g1_temporal,6,27,0.095398,0.105286
g1_temporal,6,28,0.113525,0.119324
g1_temporal,6,29,0.094467,0.094620
g1_temporal,6,30,0.099579,0.101837
g1_temporal,6,31,0.086029,0.092010
g1_temporal,6,32,0.088974,0.072220
g1_temporal,6,33,0.085724,0.068985
g1_temporal,6,34,0.090225,0.102615
g1_temporal,6,35,0.076965,0.079697
g1_temporal,6,36,0.089722,0.074203
g1_temporal,6,37,0.098923,0.128128
g1_temporal,6,38,0.083221,0.098572
g1_temporal,6,39,0.103928,0.103897
g1_temporal,6,40,0.082138,0.080948
g1_temporal,6,41,0.092850,0.086182
g1_temporal,6,42,0.091110,0.103882
g1_temporal,6,43,0.087646,0.118988
g1_temporal,6,44,0.078522,0.074020
g1_temporal,6,45,0.076996,0.086746
g1_temporal,6,46,0.088715,0.091492
g1_temporal,6,47,0.090103,0.095016
g1_temporal,6,48,0.093674,0.083527
g1_temporal,6,49,0.097916,0.087173
g1_temporal,6,50,0.113678,0.079239
g1_temporal,6,51,0.073502,0.084351
g1_temporal,6,52,0.098190,0.097412
g1_temporal,6,53,0.091446,0.095139
g1_temporal,6,54,0.085968,0.127609
g1_temporal,6,55,0.081329,0.092072
g1_temporal,6,56,0.124313,0.101425
g1_temporal,6,57,0.102951,0.090271
g1_temporal,6,58,0.083298,0.087250
g1_temporal,6,59,0.080566,0.130127
g1_temporal,6,60,0.079361,0.075180
g1_temporal,6,61,0.090012,0.090530
g1_temporal,6,62,0.123215,0.100113
g1_temporal,6,63,0.079422,0.077484
g1_temporal,7,0,0.073502,0.078369
g1_temporal,7,1,0.087204,0.087799
g1_temporal,7,2,0.085846,0.098114
g1_temporal,7,3,0.088089,0.089340
g1_temporal,7,4,0.110779,0.095367
g1_temporal,7,5,0.125183,0.065384
g1_temporal,7,6,0.079025,0.091278
g1_temporal,7,7,0.088531,0.083389
g1_temporal,7,8,0.129898,0.142532
g1_temporal,7,9,0.124817,0.121582
g1_temporal,7,10,0.075653,0.091736
g1_temporal,7,11,0.096848,0.100327
g1_temporal,7,12,0.120926,0.094772
g1_temporal,7,13,0.082718,0.099030
g1_temporal,7,14,0.073349,0.070190
g1_temporal,7,15,0.095322,0.089920
g1_temporal,7,16,0.100388,0.095322
g1_temporal,7,17,0.068771,0.085785
g1_temporal,7,18,0.106705,0.100983
g1_temporal,7,19,0.087646,0.082794
g1_temporal,7,20,0.100159,0.086456
g1_temporal,7,21,0.078842,0.084290
g1_temporal,7,22,0.104691,0.103180
g1_temporal,7,23,0.102722,0.080627
g1_temporal,7,24,0.100174,0.092377
g1_temporal,7,25,0.094254,0.098557
g1_temporal,7,26,0.102783,0.109741
g1_temporal,7,27,0.054459,0.060745
g1_temporal,7,28,0.084473,0.072830
g1_temporal,7,29,0.066559,0.110474
g1_temporal,7,30,0.128036,0.110443
g1_temporal,7,31,0.087708,0.090591
g1_temporal,7,32,0.102509,0.104630
g1_temporal,7,33,0.075485,0.079834
g1_temporal,7,34,0.080780,0.097076
g1_temporal,7,35,0.101562,0.102417
g1_temporal,7,36,0.115341,0.104019
g1_temporal,7,37,0.078171,0.081039
g1_temporal,7,38,0.098465,0.084396
g1_temporal,7,39,0.082031,0.078262
g1_temporal,7,40,0.078949,0.095779
g1_temporal,7,41,0.086609,0.084412
g1_temporal,7,42,0.101746,0.129517
g1_temporal,7,43,0.092972,0.091003
g1_temporal,7,44,0.089447,0.082611
g1_temporal,7,45,0.084335,0.092056
g1_temporal,7,46,0.085922,0.079422
g1_temporal,7,47,0.097900,0.102188
g1_temporal,7,48,0.068695,0.076569
g1_temporal,7,49,0.119675,0.115631
g1_temporal,7,50,0.100372,0.104950
g1_temporal,7,51,0.098633,0.100739
g1_temporal,7,52,0.092880,0.096069
g1_temporal,7,53,0.114822,0.108109
g1_temporal,7,54,0.092148,0.081497
g1_temporal,7,55,0.104782,0.104675
g1_temporal,7,56,0.087921,0.099274
g1_temporal,7,57,0.097534,0.102295
g1_temporal,7,58,0.088470,0.096741
g1_temporal,7,59,0.104706,0.096893
g1_temporal,7,60,0.082733,0.079468
g1_temporal,7,61,0.104828,0.096497
g1_temporal,7,62,0.094254,0.092850
g1_temporal,7,63,0.089264,0.094757
g1_temporal,8,0,0.089676,0.097458
g1_temporal,8,1,0.066833,0.095215
g1_temporal,8,2,0.102066,0.153061
g1_temporal,8,3,0.089218,0.091171
g1_temporal,8,4,0.100830,0.096130
g1_temporal,8,5,0.088852,0.083969
g1_temporal,8,6,0.110565,0.081528
g1_temporal,8,7,0.100647,0.087112
g1_temporal,8,8,0.127914,0.101395
g1_temporal,8,9,0.072479,0.075531
g1_temporal,8,10,0.087341,0.090988
g1_temporal,8,11,0.076828,0.089127
g1_temporal,8,12,0.120819,0.102539
g1_temporal,8,13,0.126999,0.126450
g1_temporal,8,14,0.105927,0.092422
g1_temporal,8,15,0.085953,0.079819
g1_temporal,8,16,0.129639,0.113632
g1_temporal,8,17,0.111374,0.109070
g1_temporal,8,18,0.120834,0.097549
g1_temporal,8,19,0.082230,0.089676
g1_temporal,8,20,0.059677,0.059235
g1_temporal,8,21,0.107376,0.105072
g1_temporal,8,22,0.064041,0.056778
g1_temporal,8,23,0.072449,0.072556
g1_temporal,8,24,0.093628,0.089767
g1_temporal,8,25,0.119003,0.112061
g1_temporal,8,26,0.090103,0.101410
g1_temporal,8,27,0.095612,0.092422
g1_temporal,8,28,0.074554,0.077194
g1_temporal,8,29,0.078781,0.083145
g1_temporal,8,30,0.095322,0.080734
g1_temporal,8,31,0.073288,0.100876
g1_temporal,8,32,0.121979,0.124313
g1_temporal,8,33,0.116852,0.100250
g1_temporal,8,34,0.104782,0.110779
g1_temporal,8,35,0.086121,0.104370
g1_temporal,8,36,0.096786,0.094971
g1_temporal,8,37,0.090424,0.098297
g1_temporal,8,38,0.082932,0.088898
g1_temporal,8,39,0.060120,0.057007
g1_temporal,8,40,0.055435,0.062546
g1_temporal,8,41,0.100327,0.122253
g1_temporal,8,42,0.125900,0.126038
g1_temporal,8,43,0.080444,0.092590
g1_temporal,8,44,0.110031,0.118179
g1_temporal,8,45,0.076462,0.092773
