label,run,layer,expert,variant,n_tokens,eff_vocab,dispersion
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,71,static,9718,15973.5,0.8839
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,72,weighted,11471,15548.1,0.8948
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,72,static,11471,15984.1,0.879
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,73,weighted,11745,15654.3,0.862
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,73,static,11745,15980.5,0.8465
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,74,weighted,13081,15385.9,0.8987
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,74,static,13081,15985.2,0.8829
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,75,weighted,12369,15763.4,0.9288
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,75,static,12369,15975.2,0.9288
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,76,weighted,13854,15201.4,0.9093
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,76,static,13854,15983.1,0.8924
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,77,weighted,11695,15598.4,0.8872
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,77,static,11695,15982.6,0.8993
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,78,weighted,11217,15536.4,0.8929
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,78,static,11217,15967.0,0.8943
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,79,weighted,12794,13537.1,0.9095
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,79,static,12794,15985.1,0.9115
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,80,weighted,13141,15525.6,0.9073
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,80,static,13141,15987.3,0.8767
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,81,weighted,12531,14901.0,0.8774
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,81,static,12531,15979.4,0.8532
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,82,weighted,14427,15171.0,0.9298
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,82,static,14427,15986.6,0.8265
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,83,weighted,12491,15537.8,0.9187
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,83,static,12491,15986.4,0.8906
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,84,weighted,10032,15686.1,0.8872
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,84,static,10032,15984.6,0.9128
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,85,weighted,12928,15653.0,0.9329
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,85,static,12928,15980.5,0.9059
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,86,weighted,13890,14938.3,0.8824
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,86,static,13890,15990.3,0.9041
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,87,weighted,12041,15490.8,0.8869
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,87,static,12041,15984.0,0.9118
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,88,weighted,12337,15269.1,0.8822
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,88,static,12337,15987.8,0.9071
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,89,weighted,11826,15200.9,0.8948
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,89,static,11826,15983.6,0.9064
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,90,weighted,13869,15537.3,0.931
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,90,static,13869,15983.5,0.8878
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,91,weighted,15010,14767.6,0.9281
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,91,static,15010,15982.5,0.887
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,92,weighted,11743,15459.1,0.9396
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,92,static,11743,15965.4,0.885
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,93,weighted,12533,15575.1,0.9236
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,93,static,12533,15984.8,0.9196
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,94,weighted,10913,15241.7,0.9174
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,94,static,10913,15987.9,0.9233
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,95,weighted,12563,15414.5,0.9299
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,95,static,12563,15983.1,0.9093
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,96,weighted,12772,15451.9,0.8972
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,96,static,12772,15990.4,0.9053
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,97,weighted,12022,15567.8,0.9043
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,97,static,12022,15985.0,0.8728
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,98,weighted,11312,15229.7,0.8852
s0_SOFTMAX_BASELINE,g3_moe_s0_1e16,2,98,static,11312,15972.2,0.8893
