run,iteration,train_lm_loss,final_val_ce,final_test_ce,seed
flame38m_g1_moe,1950,3.955456E+00,,,1234
flame38m_g1_moe,1955,3.948617E+00,,,1234
flame38m_g1_moe,1960,3.952094E+00,,,1234
flame38m_g1_moe,1965,3.948617E+00,,,1234
flame38m_g1_moe,1970,3.955503E+00,,,1234
flame38m_g1_moe,1975,3.941169E+00,,,1234
flame38m_g1_moe,1980,3.940606E+00,,,1234
flame38m_g1_moe,1985,3.953329E+00,,,1234
flame38m_g1_moe,1990,3.940214E+00,,,1234
flame38m_g1_moe,1995,3.934986E+00,,,1234
flame38m_g1_moe,2000,3.946743E+00,,,1234
flame38m_g1_moe,2005,3.927392E+00,,,1234
flame38m_g1_moe,2010,3.935186E+00,,,1234
flame38m_g1_moe,2015,3.936495E+00,,,1234
flame38m_g1_moe,2020,3.932602E+00,,,1234
flame38m_g1_moe,2025,3.922692E+00,,,1234
flame38m_g1_moe,2030,3.921871E+00,,,1234
flame38m_g1_moe,2035,3.928674E+00,,,1234
flame38m_g1_moe,2040,3.924743E+00,,,1234
flame38m_g1_moe,2045,3.920749E+00,,,1234
flame38m_g1_moe,2050,3.920408E+00,,,1234
flame38m_g1_moe,2055,3.919346E+00,,,1234
flame38m_g1_moe,2060,3.924667E+00,,,1234
flame38m_g1_moe,2065,3.922603E+00,,,1234
flame38m_g1_moe,2070,3.912058E+00,,,1234
flame38m_g1_moe,2075,3.919111E+00,,,1234
flame38m_g1_moe,2080,3.921214E+00,,,1234
flame38m_g1_moe,2085,3.926419E+00,,,1234
flame38m_g1_moe,2090,3.917630E+00,,,1234
flame38m_g1_moe,2095,3.909763E+00,,,1234
flame38m_g1_moe,2100,3.921006E+00,,,1234
flame38m_g1_moe,2105,3.912904E+00,,,1234
flame38m_g1_moe,2110,3.916201E+00,,,1234
flame38m_g1_moe,2115,3.908864E+00,,,1234
flame38m_g1_moe,2120,3.916793E+00,,,1234
flame38m_g1_moe,2121,,3.914069,3.918414,1234
flame38m_g1_moe_s2,5,1.080736E+01,,,2
flame38m_g1_moe_s2,10,1.045659E+01,,,2
flame38m_g1_moe_s2,15,1.021810E+01,,,2
flame38m_g1_moe_s2,20,9.872183E+00,,,2
flame38m_g1_moe_s2,25,9.449337E+00,,,2
flame38m_g1_moe_s2,30,8.995873E+00,,,2
flame38m_g1_moe_s2,35,8.606001E+00,,,2
flame38m_g1_moe_s2,40,8.262664E+00,,,2
flame38m_g1_moe_s2,45,7.975375E+00,,,2
flame38m_g1_moe_s2,50,7.719775E+00,,,2
flame38m_g1_moe_s2,55,7.520434E+00,,,2
flame38m_g1_moe_s2,60,7.368205E+00,,,2
flame38m_g1_moe_s2,65,7.225702E+00,,,2
flame38m_g1_moe_s2,70,7.102940E+00,,,2
flame38m_g1_moe_s2,75,7.017065E+00,,,2
flame38m_g1_moe_s2,80,6.932365E+00,,,2
flame38m_g1_moe_s2,85,6.862606E+00,,,2
flame38m_g1_moe_s2,90,6.780900E+00,,,2
flame38m_g1_moe_s2,95,6.723365E+00,,,2
flame38m_g1_moe_s2,100,6.658853E+00,,,2
flame38m_g1_moe_s2,105,6.619943E+00,,,2
flame38m_g1_moe_s2,110,6.579971E+00,,,2
flame38m_g1_moe_s2,115,6.535379E+00,,,2
flame38m_g1_moe_s2,120,6.482454E+00,,,2
flame38m_g1_moe_s2,125,6.457324E+00,,,2
flame38m_g1_moe_s2,130,6.415920E+00,,,2
flame38m_g1_moe_s2,135,6.377463E+00,,,2
flame38m_g1_moe_s2,140,6.344416E+00,,,2
flame38m_g1_moe_s2,145,6.310110E+00,,,2
flame38m_g1_moe_s2,150,6.283383E+00,,,2
flame38m_g1_moe_s2,155,6.244124E+00,,,2
flame38m_g1_moe_s2,160,6.222988E+00,,,2
flame38m_g1_moe_s2,165,6.191895E+00,,,2
flame38m_g1_moe_s2,170,6.159962E+00,,,2
flame38m_g1_moe_s2,175,6.132541E+00,,,2
flame38m_g1_moe_s2,180,6.110303E+00,,,2
flame38m_g1_moe_s2,185,6.075686E+00,,,2
flame38m_g1_moe_s2,190,6.051138E+00,,,2
flame38m_g1_moe_s2,195,6.030670E+00,,,2
flame38m_g1_moe_s2,200,6.001044E+00,,,2
flame38m_g1_moe_s2,205,5.964791E+00,,,2
flame38m_g1_moe_s2,210,5.946877E+00,,,2
flame38m_g1_moe_s2,215,5.927364E+00,,,2
flame38m_g1_moe_s2,220,5.902211E+00,,,2
flame38m_g1_moe_s2,225,5.862867E+00,,,2
flame38m_g1_moe_s2,230,5.850557E+00,,,2
flame38m_g1_moe_s2,235,5.828325E+00,,,2
flame38m_g1_moe_s2,240,5.806661E+00,,,2
flame38m_g1_moe_s2,245,5.786491E+00,,,2
flame38m_g1_moe_s2,250,5.763620E+00,,,2
flame38m_g1_moe_s2,255,5.744104E+00,,,2
flame38m_g1_moe_s2,260,5.717321E+00,,,2
flame38m_g1_moe_s2,265,5.706982E+00,,,2
flame38m_g1_moe_s2,270,5.666452E+00,,,2
flame38m_g1_moe_s2,275,5.661348E+00,,,2
flame38m_g1_moe_s2,280,5.635145E+00,,,2
flame38m_g1_moe_s2,285,5.623831E+00,,,2
flame38m_g1_moe_s2,290,5.598882E+00,,,2
flame38m_g1_moe_s2,295,5.584126E+00,,,2
flame38m_g1_moe_s2,300,5.561455E+00,,,2
flame38m_g1_moe_s2,305,5.535796E+00,,,2
flame38m_g1_moe_s2,310,5.527186E+00,,,2
flame38m_g1_moe_s2,315,5.504801E+00,,,2
flame38m_g1_moe_s2,320,5.500474E+00,,,2
flame38m_g1_moe_s2,325,5.477597E+00,,,2
flame38m_g1_moe_s2,330,5.468421E+00,,,2
flame38m_g1_moe_s2,335,5.442249E+00,,,2
flame38m_g1_moe_s2,340,5.417596E+00,,,2
flame38m_g1_moe_s2,345,5.415658E+00,,,2
flame38m_g1_moe_s2,350,5.398441E+00,,,2
flame38m_g1_moe_s2,355,5.384387E+00,,,2
flame38m_g1_moe_s2,360,5.374001E+00,,,2
flame38m_g1_moe_s2,365,5.349599E+00,,,2
flame38m_g1_moe_s2,370,5.340585E+00,,,2
flame38m_g1_moe_s2,375,5.325237E+00,,,2
flame38m_g1_moe_s2,380,5.304260E+00,,,2
flame38m_g1_moe_s2,385,5.308035E+00,,,2
flame38m_g1_moe_s2,390,5.303108E+00,,,2
flame38m_g1_moe_s2,395,5.279700E+00,,,2
flame38m_g1_moe_s2,400,5.257248E+00,,,2
flame38m_g1_moe_s2,405,5.249020E+00,,,2
flame38m_g1_moe_s2,410,5.235051E+00,,,2
flame38m_g1_moe_s2,415,5.222752E+00,,,2
flame38m_g1_moe_s2,420,5.210414E+00,,,2
flame38m_g1_moe_s2,425,5.190973E+00,,,2
flame38m_g1_moe_s2,430,5.187213E+00,,,2
flame38m_g1_moe_s2,435,5.176717E+00,,,2
flame38m_g1_moe_s2,440,5.173267E+00,,,2
flame38m_g1_moe_s2,445,5.150235E+00,,,2
flame38m_g1_moe_s2,450,5.144996E+00,,,2
flame38m_g1_moe_s2,455,5.126679E+00,,,2
flame38m_g1_moe_s2,460,5.125139E+00,,,2
