label,run,layer,expert,eff_vocab,semantic_dispersion
s0_TEMPORAL,g3_tmoe_s0_1e16,1,139,15987.79,0.9181
s0_TEMPORAL,g3_tmoe_s0_1e16,1,140,15991.24,0.8963
s0_TEMPORAL,g3_tmoe_s0_1e16,1,141,15995.75,0.836
s0_TEMPORAL,g3_tmoe_s0_1e16,1,142,15990.72,0.8991
s0_TEMPORAL,g3_tmoe_s0_1e16,1,143,15990.2,0.8738
s0_TEMPORAL,g3_tmoe_s0_1e16,1,144,15993.43,0.8663
s0_TEMPORAL,g3_tmoe_s0_1e16,1,145,15989.53,0.903
s0_TEMPORAL,g3_tmoe_s0_1e16,1,146,15993.24,0.9305
s0_TEMPORAL,g3_tmoe_s0_1e16,1,147,15988.04,0.8844
s0_TEMPORAL,g3_tmoe_s0_1e16,1,148,15987.23,0.8811
s0_TEMPORAL,g3_tmoe_s0_1e16,1,149,15997.43,0.8076
s0_TEMPORAL,g3_tmoe_s0_1e16,1,150,15989.91,0.8843
s0_TEMPORAL,g3_tmoe_s0_1e16,1,151,15988.84,0.8846
s0_TEMPORAL,g3_tmoe_s0_1e16,1,152,15990.23,0.8326
s0_TEMPORAL,g3_tmoe_s0_1e16,1,153,15991.15,0.8201
s0_TEMPORAL,g3_tmoe_s0_1e16,1,154,15988.75,0.9008
s0_TEMPORAL,g3_tmoe_s0_1e16,1,155,15997.06,0.8923
s0_TEMPORAL,g3_tmoe_s0_1e16,1,156,15996.97,0.9191
s0_TEMPORAL,g3_tmoe_s0_1e16,1,157,15984.97,0.8901
s0_TEMPORAL,g3_tmoe_s0_1e16,1,158,15996.59,0.9337
s0_TEMPORAL,g3_tmoe_s0_1e16,1,159,15993.77,0.9007
s0_TEMPORAL,g3_tmoe_s0_1e16,1,160,15990.26,0.9117
s0_TEMPORAL,g3_tmoe_s0_1e16,1,161,15990.11,0.8651
s0_TEMPORAL,g3_tmoe_s0_1e16,1,162,15987.2,0.8655
s0_TEMPORAL,g3_tmoe_s0_1e16,1,163,15997.22,0.9104
s0_TEMPORAL,g3_tmoe_s0_1e16,1,164,15988.0,0.8877
s0_TEMPORAL,g3_tmoe_s0_1e16,1,165,15991.24,0.8892
s0_TEMPORAL,g3_tmoe_s0_1e16,1,166,15990.95,0.9171
s0_TEMPORAL,g3_tmoe_s0_1e16,1,167,15989.39,0.8864
s0_TEMPORAL,g3_tmoe_s0_1e16,1,168,15996.24,0.8985
s0_TEMPORAL,g3_tmoe_s0_1e16,1,169,15995.43,0.8879
s0_TEMPORAL,g3_tmoe_s0_1e16,1,170,15995.17,0.9116
s0_TEMPORAL,g3_tmoe_s0_1e16,1,171,15988.9,0.8655
s0_TEMPORAL,g3_tmoe_s0_1e16,1,172,15993.65,0.8765
s0_TEMPORAL,g3_tmoe_s0_1e16,1,173,15985.09,0.9007
s0_TEMPORAL,g3_tmoe_s0_1e16,1,174,15985.05,0.9066
s0_TEMPORAL,g3_tmoe_s0_1e16,1,175,15994.38,0.8484
s0_TEMPORAL,g3_tmoe_s0_1e16,1,176,15988.0,0.8843
s0_TEMPORAL,g3_tmoe_s0_1e16,1,177,15978.54,0.8699
s0_TEMPORAL,g3_tmoe_s0_1e16,1,178,15988.93,0.9404
s0_TEMPORAL,g3_tmoe_s0_1e16,1,179,15985.99,0.9142
s0_TEMPORAL,g3_tmoe_s0_1e16,1,180,15992.12,0.9258
s0_TEMPORAL,g3_tmoe_s0_1e16,1,181,15989.26,0.8699
s0_TEMPORAL,g3_tmoe_s0_1e16,1,182,15987.4,0.8927
s0_TEMPORAL,g3_tmoe_s0_1e16,1,183,15994.9,0.9153
s0_TEMPORAL,g3_tmoe_s0_1e16,1,184,15994.11,0.8682
s0_TEMPORAL,g3_tmoe_s0_1e16,1,185,15991.57,0.9027
s0_TEMPORAL,g3_tmoe_s0_1e16,1,186,15995.26,0.8992
s0_TEMPORAL,g3_tmoe_s0_1e16,1,187,15989.41,0.8782
s0_TEMPORAL,g3_tmoe_s0_1e16,1,188,15985.41,0.8738
s0_TEMPORAL,g3_tmoe_s0_1e16,1,189,15996.1,0.9052
s0_TEMPORAL,g3_tmoe_s0_1e16,1,190,15991.04,0.9112
s0_TEMPORAL,g3_tmoe_s0_1e16,1,191,15968.94,0.8543
s0_TEMPORAL,g3_tmoe_s0_1e16,2,0,15988.62,0.8826
s0_TEMPORAL,g3_tmoe_s0_1e16,2,1,15995.11,0.8907
s0_TEMPORAL,g3_tmoe_s0_1e16,2,2,15989.77,0.9091
s0_TEMPORAL,g3_tmoe_s0_1e16,2,3,15987.24,0.8067
s0_TEMPORAL,g3_tmoe_s0_1e16,2,4,15991.01,0.8872
s0_TEMPORAL,g3_tmoe_s0_1e16,2,5,15991.18,0.8905
s0_TEMPORAL,g3_tmoe_s0_1e16,2,6,15989.5,0.9061
s0_TEMPORAL,g3_tmoe_s0_1e16,2,7,15984.99,0.8632
s0_TEMPORAL,g3_tmoe_s0_1e16,2,8,15991.51,0.8869
s0_TEMPORAL,g3_tmoe_s0_1e16,2,9,15988.07,0.9013
s0_TEMPORAL,g3_tmoe_s0_1e16,2,10,15990.06,0.8609
s0_TEMPORAL,g3_tmoe_s0_1e16,2,11,15990.17,0.8995
s0_TEMPORAL,g3_tmoe_s0_1e16,2,12,15984.41,0.8598
s0_TEMPORAL,g3_tmoe_s0_1e16,2,13,15988.8,0.8857
s0_TEMPORAL,g3_tmoe_s0_1e16,2,14,15992.09,0.9074
s0_TEMPORAL,g3_tmoe_s0_1e16,2,15,15990.12,0.9117
s0_TEMPORAL,g3_tmoe_s0_1e16,2,16,15986.39,0.8857
s0_TEMPORAL,g3_tmoe_s0_1e16,2,17,15992.83,0.9123
s0_TEMPORAL,g3_tmoe_s0_1e16,2,18,15988.34,0.8801
s0_TEMPORAL,g3_tmoe_s0_1e16,2,19,15983.31,0.8874
s0_TEMPORAL,g3_tmoe_s0_1e16,2,20,15984.5,0.9243
s0_TEMPORAL,g3_tmoe_s0_1e16,2,21,15991.99,0.893
s0_TEMPORAL,g3_tmoe_s0_1e16,2,22,15989.41,0.9156
s0_TEMPORAL,g3_tmoe_s0_1e16,2,23,15989.53,0.8216
s0_TEMPORAL,g3_tmoe_s0_1e16,2,24,15988.43,0.8892
s0_TEMPORAL,g3_tmoe_s0_1e16,2,25,15991.07,0.9006
s0_TEMPORAL,g3_tmoe_s0_1e16,2,26,15987.18,0.9052
s0_TEMPORAL,g3_tmoe_s0_1e16,2,27,15989.94,0.9109
s0_TEMPORAL,g3_tmoe_s0_1e16,2,28,15989.5,0.8961
s0_TEMPORAL,g3_tmoe_s0_1e16,2,29,15989.5,0.8761
s0_TEMPORAL,g3_tmoe_s0_1e16,2,30,15987.27,0.769
s0_TEMPORAL,g3_tmoe_s0_1e16,2,31,15989.27,0.9496
s0_TEMPORAL,g3_tmoe_s0_1e16,2,32,15991.54,0.9038
s0_TEMPORAL,g3_tmoe_s0_1e16,2,33,15991.99,0.9195
s0_TEMPORAL,g3_tmoe_s0_1e16,2,34,15994.75,0.9161
s0_TEMPORAL,g3_tmoe_s0_1e16,2,35,15990.54,0.8851
