label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,3,34,2376,0.6482,0.7819,0.1337
s0_TEMPORAL,g3_tmoe_s0_1e16,3,35,1751,0.6218,0.7362,0.1143
s0_TEMPORAL,g3_tmoe_s0_1e16,3,36,1650,0.6052,0.8606,0.2554
s0_TEMPORAL,g3_tmoe_s0_1e16,3,37,1550,0.668,0.8321,0.1641
s0_TEMPORAL,g3_tmoe_s0_1e16,3,38,2489,0.631,0.7627,0.1317
s0_TEMPORAL,g3_tmoe_s0_1e16,3,39,3195,0.5939,0.8275,0.2336
s0_TEMPORAL,g3_tmoe_s0_1e16,3,40,4189,0.5612,0.6574,0.0962
s0_TEMPORAL,g3_tmoe_s0_1e16,3,41,957,0.6699,0.815,0.1451
s0_TEMPORAL,g3_tmoe_s0_1e16,3,42,4448,0.6027,0.7856,0.1829
s0_TEMPORAL,g3_tmoe_s0_1e16,3,43,14426,0.6027,0.7115,0.1088
s0_TEMPORAL,g3_tmoe_s0_1e16,3,44,3063,0.6952,0.8723,0.1771
s0_TEMPORAL,g3_tmoe_s0_1e16,3,45,2923,0.6469,0.8268,0.1799
s0_TEMPORAL,g3_tmoe_s0_1e16,3,46,301,0.7178,0.8694,0.1517
s0_TEMPORAL,g3_tmoe_s0_1e16,3,47,172,0.5012,0.2913,-0.2099
s0_TEMPORAL,g3_tmoe_s0_1e16,3,49,1026,0.5479,0.7445,0.1966
s0_TEMPORAL,g3_tmoe_s0_1e16,3,50,284,0.8999,0.6643,-0.2357
s0_TEMPORAL,g3_tmoe_s0_1e16,3,51,855,0.576,0.8328,0.2568
s0_TEMPORAL,g3_tmoe_s0_1e16,3,52,384,0.5332,0.7365,0.2033
s0_TEMPORAL,g3_tmoe_s0_1e16,3,53,150,0.5118,0.7488,0.237
s0_TEMPORAL,g3_tmoe_s0_1e16,3,54,1655,0.6077,0.7476,0.1399
s0_TEMPORAL,g3_tmoe_s0_1e16,3,55,4207,0.6078,0.7444,0.1366
s0_TEMPORAL,g3_tmoe_s0_1e16,3,56,112,0.5866,0.6039,0.0173
s0_TEMPORAL,g3_tmoe_s0_1e16,3,57,7158,0.6179,0.7455,0.1276
s0_TEMPORAL,g3_tmoe_s0_1e16,3,58,382,0.8289,0.7663,-0.0626
s0_TEMPORAL,g3_tmoe_s0_1e16,3,59,4461,0.7043,0.8037,0.0994
s0_TEMPORAL,g3_tmoe_s0_1e16,3,60,2605,0.6077,0.7095,0.1018
s0_TEMPORAL,g3_tmoe_s0_1e16,3,61,380,0.6805,0.9486,0.2681
s0_TEMPORAL,g3_tmoe_s0_1e16,3,62,11750,0.6993,0.8213,0.122
s0_TEMPORAL,g3_tmoe_s0_1e16,3,63,2141,0.6071,0.8482,0.2411
s0_TEMPORAL,g3_tmoe_s0_1e16,3,64,4160,0.6402,0.8218,0.1816
s0_TEMPORAL,g3_tmoe_s0_1e16,3,65,9752,0.6425,0.8528,0.2103
s0_TEMPORAL,g3_tmoe_s0_1e16,3,66,373,0.7238,0.7072,-0.0166
s0_TEMPORAL,g3_tmoe_s0_1e16,3,67,5528,0.6201,0.7388,0.1187
s0_TEMPORAL,g3_tmoe_s0_1e16,3,68,6773,0.6426,0.7971,0.1545
s0_TEMPORAL,g3_tmoe_s0_1e16,3,69,253,0.4239,0.877,0.4531
s0_TEMPORAL,g3_tmoe_s0_1e16,3,70,3146,0.7502,0.8089,0.0587
s0_TEMPORAL,g3_tmoe_s0_1e16,3,72,264,nan,nan,nan
s0_TEMPORAL,g3_tmoe_s0_1e16,3,73,1582,0.4726,0.459,-0.0136
s0_TEMPORAL,g3_tmoe_s0_1e16,3,74,6768,0.6578,0.8739,0.2161
