cell,layer,expert,residency_share,selectivity_PRfrac,gate_when_selected,dist_to_centroid
L0_s1,3,52,0.12668,0.81278,0.00756,0.87403
L0_s1,3,53,0.08775,0.79537,0.00873,0.87218
L0_s1,3,54,0.09849,0.61104,0.00951,0.87022
L0_s1,3,55,0.07969,0.72513,0.00978,0.88762
L0_s1,3,56,0.08195,0.75458,0.00897,0.8977
L0_s1,3,57,0.13277,0.41865,0.01052,0.88081
L0_s1,3,58,0.08533,0.25963,0.0154,0.87512
L0_s1,3,59,0.12249,0.38823,0.01286,0.89977
L0_s1,3,60,0.07004,0.52523,0.00966,0.85416
L0_s1,3,61,0.10661,0.82435,0.00955,0.90745
L0_s1,3,62,0.06292,0.31318,0.01377,0.93336
L0_s1,3,63,0.09875,0.59313,0.00891,0.87655
L0_s1,3,64,0.07811,0.42007,0.01177,0.88283
L0_s1,3,65,0.07947,0.56753,0.00932,0.86502
L0_s1,3,66,0.09528,0.44465,0.01008,0.88891
L0_s1,3,67,0.06982,0.34845,0.01126,0.87034
L0_s1,3,68,0.0966,0.43487,0.01101,0.85519
L0_s1,3,69,0.08832,0.75583,0.00886,0.88199
L0_s1,3,70,0.0616,0.24109,0.01705,0.8524
L0_s1,3,71,0.10846,0.92518,0.00797,0.8864
L0_s1,3,72,0.07334,0.94994,0.00709,0.88582
L0_s1,3,73,0.09177,0.93205,0.00726,0.89217
L0_s1,3,74,0.08495,0.31207,0.01526,0.91009
L0_s1,3,75,0.08813,0.80252,0.00876,0.86243
L0_s1,3,76,0.10362,0.61278,0.01002,0.87337
L0_s1,3,77,0.08067,0.25878,0.01715,0.89525
L0_s1,3,78,0.13435,0.87806,0.00704,0.91698
L0_s1,3,79,0.07141,0.93744,0.00733,0.87957
L0_s1,3,80,0.07853,0.87561,0.00722,0.92888
L0_s1,3,81,0.0788,0.47818,0.01195,0.88563
L0_s1,3,82,0.08783,0.29158,0.01441,0.86323
L0_s1,3,83,0.04498,0.22483,0.01925,0.90022
L0_s1,3,84,0.12567,0.63492,0.00851,0.87223
L0_s1,3,85,0.13093,0.8546,0.00676,0.91837
L0_s1,3,86,0.08172,0.14887,0.01914,0.8726
L0_s1,3,87,0.08799,0.38753,0.01259,0.86716
L0_s1,3,88,0.15173,0.92084,0.00747,0.85601
L0_s1,3,89,0.14551,0.84828,0.00786,0.90076
L0_s1,3,90,0.09547,0.43167,0.01052,0.87442
L0_s1,3,91,0.09604,0.78471,0.01035,0.87946
L0_s1,3,92,0.07945,0.34526,0.01441,0.87992
L0_s1,3,93,0.08032,0.8539,0.00729,0.88151
L0_s1,3,94,0.09718,0.75138,0.00819,0.85486
L0_s1,3,95,0.05128,0.19437,0.01785,0.81645
L0_s1,3,96,0.07306,0.48081,0.01181,0.85409
L0_s1,3,97,0.04715,0.56378,0.01011,0.85461
L0_s1,3,98,0.09922,0.36451,0.01378,0.85751
L0_s1,3,99,0.08928,0.29695,0.01344,0.9101
L0_s1,3,100,0.07993,0.92581,0.00734,0.91311
L0_s1,3,101,0.11884,0.19531,0.01592,0.87168
L0_s1,3,102,0.09532,0.56364,0.00917,0.83703
L0_s1,3,103,0.07434,0.45216,0.01129,0.86856
L0_s1,3,104,0.08099,0.56638,0.00904,0.87089
L0_s1,3,105,0.13458,0.84707,0.00806,0.87638
L0_s1,3,106,0.11755,0.26766,0.01499,0.87061
L0_s1,3,107,0.14388,0.78914,0.00881,0.92891
L0_s1,3,108,0.0883,0.43974,0.01227,0.89077
L0_s1,3,109,0.17246,0.82776,0.00745,0.85191
L0_s1,3,110,0.06327,0.59067,0.00961,0.8919
L0_s1,3,111,0.09353,0.23388,0.01679,0.88803
L0_s1,3,112,0.16184,0.83167,0.00645,0.88327
L0_s1,3,113,0.12984,0.8065,0.00698,0.89533
L0_s1,3,114,0.10125,0.93896,0.00729,0.86316
L0_s1,3,115,0.12773,0.6111,0.00926,0.87784
L0_s1,3,116,0.07323,0.54464,0.01137,0.8943
L0_s1,3,117,0.0526,0.37316,0.01441,0.83493
L0_s1,3,118,0.06766,0.7026,0.01007,0.87547
L0_s1,3,119,0.10098,0.84193,0.00709,0.86164
L0_s1,3,120,0.11836,0.49781,0.00973,0.87619
L0_s1,3,121,0.09673,0.7593,0.00913,0.88403
L0_s1,3,122,0.06116,0.16427,0.02147,0.89704
L0_s1,3,123,0.11547,0.94268,0.0077,0.85443
L0_s1,3,124,0.06715,0.77984,0.00804,0.84419
L0_s1,3,125,0.08459,0.5234,0.01013,0.93293
L0_s1,3,126,0.09213,0.93687,0.00713,0.88343
L0_s1,3,127,0.12932,0.78129,0.00747,0.86177
L0_s1,3,128,0.10232,0.91684,0.00765,0.87872
L0_s1,3,129,0.11916,0.88015,0.0073,0.88294
L0_s1,3,130,0.08165,0.79553,0.0076,0.86075
L0_s1,3,131,0.10413,0.84041,0.00937,0.90548
L0_s1,3,132,0.10213,0.58345,0.0099,0.84524
L0_s1,3,133,0.04398,0.35892,0.01489,0.89172
L0_s1,3,134,0.08024,0.52934,0.00922,0.89124
L0_s1,3,135,0.10445,0.5344,0.00979,0.84347
L0_s1,3,136,0.08875,0.69434,0.00816,0.8649
L0_s1,3,137,0.07222,0.66512,0.00877,0.86277
L0_s1,3,138,0.14202,0.83246,0.00889,0.84276
L0_s1,3,139,0.09283,0.32146,0.01398,0.85246
L0_s1,3,140,0.11644,0.5875,0.01014,0.86015
L0_s1,3,141,0.06134,0.84152,0.00773,0.88843
L0_s1,3,142,0.05175,0.50403,0.01115,0.86825
L0_s1,3,143,0.08739,0.90482,0.00719,0.85362
L0_s1,3,144,0.08936,0.8536,0.00801,0.87993
L0_s1,3,145,0.08767,0.89404,0.00734,0.87564
L0_s1,3,146,0.11843,0.94891,0.00746,0.8901
L0_s1,3,147,0.14256,0.9228,0.00676,0.88926
L0_s1,3,148,0.06205,0.25265,0.01577,0.86822
L0_s1,3,149,0.13271,0.95813,0.00781,0.88148
L0_s1,3,150,0.13063,0.33044,0.01136,0.8811
L0_s1,3,151,0.11243,0.62774,0.00875,0.92803
L0_s1,3,152,0.17013,0.87647,0.00786,0.90179
L0_s1,3,153,0.093,0.44667,0.01088,0.8772
L0_s1,3,154,0.12247,0.87947,0.00776,0.86046
L0_s1,3,155,0.0834,0.79896,0.00811,0.86619
L0_s1,3,156,0.10059,0.36892,0.01244,0.88063
L0_s1,3,157,0.06757,0.37828,0.01172,0.89114
L0_s1,3,158,0.10406,0.4682,0.01067,0.84782
L0_s1,3,159,0.11342,0.45108,0.00973,0.85543
L0_s1,3,160,0.08327,0.34287,0.0137,0.84724
L0_s1,3,161,0.08304,0.69205,0.00838,0.87788
L0_s1,3,162,0.09329,0.34662,0.01133,0.85867
L0_s1,3,163,0.05436,0.20897,0.01676,0.87262
L0_s1,3,164,0.08756,0.65505,0.00999,0.89459
L0_s1,3,165,0.09457,0.78408,0.00853,0.90652
L0_s1,3,166,0.04012,0.45812,0.01236,0.90553
L0_s1,3,167,0.11393,0.96399,0.00782,0.89255
L0_s1,3,168,0.10335,0.37544,0.01189,0.86953
L0_s1,3,169,0.06044,0.39907,0.01178,0.84251
L0_s1,3,170,0.10452,0.37033,0.00941,0.86199
L0_s1,3,171,0.11562,0.86932,0.0081,0.87802
L0_s1,3,172,0.10075,0.85103,0.00789,0.90535
L0_s1,3,173,0.10309,0.73189,0.00803,0.8642
L0_s1,3,174,0.10786,0.83865,0.00731,0.87627
L0_s1,3,175,0.09899,0.65738,0.00868,0.85443
L0_s1,3,176,0.08675,0.95274,0.00747,0.9165
L0_s1,3,177,0.08175,0.6422,0.01226,0.8682
L0_s1,3,178,0.12349,0.71251,0.00757,0.92163
L0_s1,3,179,0.08979,0.9212,0.00725,0.80454
L0_s1,3,180,0.11758,0.84763,0.00855,0.85869
L0_s1,3,181,0.09763,0.85537,0.00709,0.86979
L0_s1,3,182,0.09151,0.79127,0.00771,0.8685
L0_s1,3,183,0.08493,0.91627,0.00755,0.91354
L0_s1,3,184,0.08434,0.29472,0.01279,0.81044
L0_s1,3,185,0.03944,0.30351,0.01557,0.84513
L0_s1,3,186,0.10848,0.8919,0.00776,0.88567
L0_s1,3,187,0.11679,0.42826,0.01158,0.86449
L0_s1,3,188,0.10207,0.65762,0.0088,0.91523
L0_s1,3,189,0.09376,0.61407,0.00862,0.86257
L0_s1,3,190,0.10614,0.89126,0.00753,0.87599
L0_s1,3,191,0.09496,0.41225,0.01052,0.8862
L0_s1,4,0,0.12329,0.87972,0.00772,
L0_s1,4,1,0.09233,0.64273,0.01011,
L0_s1,4,2,0.07086,0.77406,0.00993,
L0_s1,4,3,0.07443,0.16992,0.01971,
L0_s1,4,4,0.08749,0.76788,0.00894,
L0_s1,4,5,0.13606,0.79592,0.0082,
L0_s1,4,6,0.08981,0.91331,0.00847,
L0_s1,4,7,0.0884,0.70872,0.00956,
L0_s1,4,8,0.08559,0.77854,0.00946,
L0_s1,4,9,0.09544,0.53568,0.01114,
L0_s1,4,10,0.08265,0.59762,0.01084,
L0_s1,4,11,0.08461,0.39651,0.01199,
L0_s1,4,12,0.11963,0.80167,0.00924,
L0_s1,4,13,0.10871,0.76889,0.01,
L0_s1,4,14,0.06219,0.80762,0.0094,
L0_s1,4,15,0.10168,0.46549,0.01307,
L0_s1,4,16,0.11661,0.62107,0.01224,
L0_s1,4,17,0.11141,0.47037,0.01263,
L0_s1,4,18,0.11549,0.85206,0.00875,
L0_s1,4,19,0.05891,0.4308,0.0135,
L0_s1,4,20,0.09418,0.49825,0.01236,
L0_s1,4,21,0.07921,0.94234,0.00818,
L0_s1,4,22,0.09069,0.78523,0.0089,
L0_s1,4,23,0.03864,0.13961,0.02613,
L0_s1,4,24,0.07485,0.74853,0.01058,
L0_s1,4,25,0.1235,0.55393,0.01149,
L0_s1,4,26,0.09383,0.77139,0.00989,
L0_s1,4,27,0.05116,0.25563,0.02061,
L0_s1,4,28,0.09109,0.34485,0.01479,
L0_s1,4,29,0.03968,0.13486,0.02426,
L0_s1,4,30,0.09267,0.61021,0.01027,
L0_s1,4,31,0.08274,0.77342,0.00954,
L0_s1,4,32,0.10447,0.73768,0.00962,
L0_s1,4,33,0.10309,0.87375,0.00902,
L0_s1,4,34,0.12184,0.76871,0.01054,
L0_s1,4,35,0.04546,0.52812,0.01186,
L0_s1,4,36,0.07411,0.77958,0.00893,
L0_s1,4,37,0.07784,0.81737,0.00853,
L0_s1,4,38,0.05636,0.6467,0.01086,
L0_s1,4,39,0.07483,0.40566,0.01607,
L0_s1,4,40,0.10584,0.91856,0.00819,
L0_s1,4,41,0.06911,0.59077,0.01201,
L0_s1,4,42,0.13639,0.66033,0.01127,
L0_s1,4,43,0.11768,0.77331,0.00927,
L0_s1,4,44,0.18209,0.67396,0.01122,
L0_s1,4,45,0.08445,0.58412,0.01422,
L0_s1,4,46,0.10792,0.77375,0.00886,
L0_s1,4,47,0.0927,0.81315,0.00946,
L0_s1,4,48,0.06333,0.78785,0.01037,
L0_s1,4,49,0.09505,0.34904,0.01481,
L0_s1,4,50,0.09672,0.7154,0.00927,
L0_s1,4,51,0.15215,0.81766,0.00955,
L0_s1,4,52,0.11519,0.36022,0.01406,
L0_s1,4,53,0.07335,0.39009,0.0155,
L0_s1,4,54,0.07986,0.83953,0.00865,
L0_s1,4,55,0.08596,0.68641,0.01023,
L0_s1,4,56,0.11208,0.68011,0.01098,
L0_s1,4,57,0.12926,0.80787,0.00839,
L0_s1,4,58,0.04063,0.28449,0.01503,
L0_s1,4,59,0.14654,0.86816,0.00804,
L0_s1,4,60,0.10117,0.51971,0.01206,
L0_s1,4,61,0.09484,0.92744,0.00819,
L0_s1,4,62,0.11118,0.96086,0.00773,
L0_s1,4,63,0.06964,0.78579,0.0088,
L0_s1,4,64,0.08102,0.76595,0.00845,
L0_s1,4,65,0.11092,0.7798,0.01054,
L0_s1,4,66,0.1398,0.84795,0.0091,
L0_s1,4,67,0.10356,0.43057,0.01343,
L0_s1,4,68,0.0935,0.82322,0.00909,
L0_s1,4,69,0.10734,0.25755,0.01706,
L0_s1,4,70,0.09325,0.48687,0.01243,
L0_s1,4,71,0.15359,0.88917,0.00868,
L0_s1,4,72,0.1052,0.85,0.00875,
L0_s1,4,73,0.08549,0.77394,0.00984,
L0_s1,4,74,0.10532,0.2695,0.01666,
L0_s1,4,75,0.06103,0.82956,0.00931,
L0_s1,4,76,0.13261,0.76382,0.01146,
L0_s1,4,77,0.15634,0.82001,0.00919,
L0_s1,4,78,0.11324,0.91168,0.00883,
L0_s1,4,79,0.10836,0.73325,0.01007,
L0_s1,4,80,0.11993,0.83909,0.00908,
L0_s1,4,81,0.11199,0.83378,0.00948,
L0_s1,4,82,0.12594,0.85433,0.00888,
L0_s1,4,83,0.15592,0.9548,0.00833,
L0_s1,4,84,0.06222,0.72448,0.00989,
L0_s1,4,85,0.09627,0.4773,0.01284,
L0_s1,4,86,0.0919,0.4652,0.01347,
L0_s1,4,87,0.06339,0.84255,0.00892,
L0_s1,4,88,0.10314,0.75055,0.00938,
