label,run,layer,expert,usage_count,token_AUC,context_AUC,context_minus_token
s0_TEMPORAL,g3_tmoe_s0_1e16,3,96,816,0.6824,0.8898,0.2074
s0_TEMPORAL,g3_tmoe_s0_1e16,3,97,465,0.5907,0.825,0.2343
s0_TEMPORAL,g3_tmoe_s0_1e16,3,98,3742,0.6451,0.7067,0.0615
s0_TEMPORAL,g3_tmoe_s0_1e16,3,99,2669,0.6168,0.7238,0.1071
s0_TEMPORAL,g3_tmoe_s0_1e16,3,101,6847,0.6378,0.7065,0.0688
s0_TEMPORAL,g3_tmoe_s0_1e16,3,102,378,0.6325,0.7075,0.075
s0_TEMPORAL,g3_tmoe_s0_1e16,3,103,1215,0.5924,0.725,0.1325
s0_TEMPORAL,g3_tmoe_s0_1e16,3,104,2952,0.6882,0.7597,0.0715
s0_TEMPORAL,g3_tmoe_s0_1e16,3,105,456,0.5514,0.7336,0.1821
s0_TEMPORAL,g3_tmoe_s0_1e16,3,106,8102,0.6663,0.7306,0.0643
s0_TEMPORAL,g3_tmoe_s0_1e16,3,107,1409,0.6113,0.9279,0.3166
s0_TEMPORAL,g3_tmoe_s0_1e16,3,108,12474,0.609,0.7547,0.1457
s0_TEMPORAL,g3_tmoe_s0_1e16,3,109,379,0.6406,0.8959,0.2553
s0_TEMPORAL,g3_tmoe_s0_1e16,3,110,1184,0.6307,0.9009,0.2701
s0_TEMPORAL,g3_tmoe_s0_1e16,3,111,1125,0.702,0.6972,-0.0048
s0_TEMPORAL,g3_tmoe_s0_1e16,3,113,345,0.5612,0.694,0.1328
s0_TEMPORAL,g3_tmoe_s0_1e16,3,115,6410,0.5905,0.8251,0.2346
s0_TEMPORAL,g3_tmoe_s0_1e16,3,116,2180,0.6859,0.8861,0.2002
s0_TEMPORAL,g3_tmoe_s0_1e16,3,117,2519,0.7537,0.9565,0.2029
s0_TEMPORAL,g3_tmoe_s0_1e16,3,118,124,0.5731,0.9628,0.3897
s0_TEMPORAL,g3_tmoe_s0_1e16,3,120,3084,0.6311,0.7499,0.1188
s0_TEMPORAL,g3_tmoe_s0_1e16,3,121,257,0.6685,0.6941,0.0256
s0_TEMPORAL,g3_tmoe_s0_1e16,3,122,3043,0.707,0.8631,0.1561
s0_TEMPORAL,g3_tmoe_s0_1e16,3,123,9299,0.5695,0.7054,0.1359
s0_TEMPORAL,g3_tmoe_s0_1e16,3,124,450,0.6012,0.83,0.2288
s0_TEMPORAL,g3_tmoe_s0_1e16,3,125,576,0.6721,0.8334,0.1613
s0_TEMPORAL,g3_tmoe_s0_1e16,3,127,205,0.5834,0.7729,0.1895
s0_TEMPORAL,g3_tmoe_s0_1e16,3,128,5422,0.5269,0.6373,0.1104
s0_TEMPORAL,g3_tmoe_s0_1e16,3,129,276,0.5628,0.6321,0.0693
s0_TEMPORAL,g3_tmoe_s0_1e16,3,130,1383,0.5811,0.7682,0.1871
s0_TEMPORAL,g3_tmoe_s0_1e16,3,131,2476,0.6424,0.886,0.2436
s0_TEMPORAL,g3_tmoe_s0_1e16,3,132,1627,0.5982,0.8487,0.2505
s0_TEMPORAL,g3_tmoe_s0_1e16,3,133,1688,0.7088,0.9527,0.2439
